State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Wind,Other Renewables,Other Fossil,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Wind_prop,Other Renewables_prop,Other Fossil_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita,panel_utilization,carbon_offset_kg_per_panel,carbon_offset_kg,State,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)","Adjusted Payback Period (Years, under energy generation assumptions)",State-level Incentives,Numeric state-level upfront incentive,Notes,estimated_install_count
Massachusetts,MA,7008.71,936.9,0.0,15775.97,17461.83,5353.15,477.57,0.0,215.68,25.41,1685.86,24470.54,0.2864141943741331,0.0382868543154339,0.0,0.6446923525185795,0.7135858056258669,0.2187589648614211,0.0195161202000446,0.0,0.0088138635273271,0.0010383914699062,0.0688934531072873,1.0,2382202,1167202,3658005,0.6512298370286536,0.3190815758863096,5847925,2282405,35796993,18235881,590222,476407,4084687,452244,12279,18.59007080161838,238.2435240473204,21.255017751301953,306069.8615851046,15347.0,8382509.482979517,38.261742736540754,466.565114128628,0.8144009748772223,0.08067113970833897,38261.74273654075,8382509482.979517,MA,12250,6,"$1,000 state tax credit",1000,Net metering; full retail credit,17.489961188195995
Michigan,MI,39071.93,2257.93,34482.19,41183.79,77248.46,1105.07,517.79,26013.36,9151.18,26.6,1582.48,116320.39,0.3358992348632943,0.0194113001168582,0.2964414923299346,0.3540547792179858,0.6641007651367057,0.0095002260566698,0.0044514121728787,0.2236354262567379,0.0786721915220538,0.0002286787380957,0.0136044935887852,1.0,2804040,2649852,5539302,0.5062081829082437,0.4783729069113762,7436178,2965993,26435118,13820856,983148,1300969,5242573,309583,22661,52.15711917859912,255.1810583808235,11.82701506770525,325958.89322432457,1717.0,31977977.16866185,74.74276218336713,1451.9167018244461,0.0765199559830268,0.003969422220103734,74742.76218336713,31977977168.66185,MI,12250,14,No state-level incentive,0,Net billing; export credit at ~50% of retail,3.3902127629310974
Minnesota,MN,34121.48,1186.67,16158.7,8736.08,25141.09,2144.36,950.43,14696.21,15091.23,52.58,246.31,59262.57,0.5757678075723007,0.0200239375376396,0.2726628291685629,0.1474131142135752,0.4242321924276993,0.0361840534421642,0.0160376102487624,0.2479846891553977,0.2546502792572107,0.0008872379311258,0.0041562490455611,1.0,1717077,1484065,3277171,0.5239509930974001,0.4528494240916937,3850717,1524216,18075286,9395093,341479,356277,2881141,265438,20310,14.730568857078772,145.3270861858278,10.42457014866752,183090.6221852597,1511.0,9377942.109891022,26.668476430862654,450.15818420851144,0.0712286994371325,0.0060715760490382,26668.476430862655,9377942109.89102,MN,12250,11,No state-level incentive,0,"Net metering or optional Value of Solar tariff, sales tax exemption",11.712014380672297
Mississippi,MS,10424.0,1297.36,5651.37,51719.17,57379.69,525.92,0.0,8600.33,0.0,0.39,9.15,67803.69,0.1537379455306931,0.0191340618777532,0.0833490035719295,0.7627781024897022,0.8462620544693069,0.0077565100070512,0.0,0.126841621746545,0.0,5.751899343531304e-06,0.0001349484076751,1.0,539398,756764,1313759,0.410576064559786,0.5760295457538255,1407113,542887,4314682,2291440,228948,489834,822905,21011,3078,26.289271108172827,41.11930840349764,0.9195517976210505,78507.323606811,356.0,6607827.515304838,14.989713639040922,398.7627158581297,0.015221914226635923,0.0005965814973325482,14989.71363904092,6607827515.304838,MS,12250,10,No state-level incentive,0,Net billing; avoided cost + adder (~3-5/kWh),6.698992856182059
Missouri,MO,18745.54,113.25,52832.38,8151.58,61146.92,680.76,1549.21,8874.77,7524.6,2.95,162.96,79892.46,0.2346346576385305,0.0014175305153953,0.6612936940482242,0.1020319063901649,0.7653653423614694,0.0085209542928081,0.0193911916093208,0.1110839495992487,0.0941841069858156,3.692463594186485e-05,0.0020397419230801,1.0,1253014,1718736,3025962,0.4140878173618836,0.5679965577888949,3806589,1572169,14791129,7892085,441326,634240,2756449,111777,9278,35.094045743981134,139.49796546766132,4.9302122791371215,208426.1333580911,2843.0,20745747.68862404,47.89947701259601,1517.910110068543,0.16938205991578845,0.006815896617153783,47899.477012596,20745747688.62404,MO,10500,11,No state-level incentive,0,Net metering; full retail credit,3.266193106554471
Montana,MT,14020.65,27.95,11651.07,728.76,12667.54,84.91,9885.93,0.0,4021.86,0.0,287.71,26688.19,0.5253503515974669,0.0010472797143605,0.4365627642788814,0.0273064602732519,0.4746496484025331,0.0031815570857371,0.3704233970156837,0.0,0.1506981177816854,0.0,0.0107804238503997,1.0,244786,343602,603674,0.4054936936160908,0.5691846924002028,527843,215294,1631159,914206,60007,3897,462068,6309,20114,0.25686009356278067,19.147379627622914,0.2864222497529181,23245.79999999999,260.0,715589.7960409408,1.7716145913948824,24.483841405933102,0.010342402519232173,0.0008708578439963222,1771.6145913948822,715589796.0409408,MT,12250,14,No state-level incentive,0,Net metering; full retail credit,3.652702853848869
Nebraska,NE,19506.58,88.51,19945.27,1260.18,21240.45,109.99,1057.37,5618.5,12614.06,18.15,35.0,40747.03,0.4787239708022892,0.0021721828560265,0.4894901542517332,0.0309269166366235,0.5212760291977109,0.0026993378413101,0.0259496213589064,0.1378873503173114,0.3095700471911695,0.000445431237565,0.000858958309354,1.0,374583,556846,956383,0.3916663094178796,0.5822416333205421,1100907,434899,6294377,3198602,111216,83797,851800,42664,6889,4.788594328310187,58.546672845754316,2.2129343709090574,78114.89725750338,205.0,3378044.7512675347,11.512161312532678,240.40169185723764,0.012461202703983924,0.0006072441167073628,11512.161312532677,3378044751.267535,NE,12250,13,No state-level incentive,0,"Net metering; full retail credit, upfront incentives for businesses",1.4080540826600758
Nevada,NV,16381.91,48.89,2735.26,24844.42,27594.88,10414.56,1685.78,0.0,315.55,3917.13,15.2,43976.79,0.3725126367795375,0.0011117227974119,0.0621978093444291,0.5649439170071303,0.6274873632204624,0.2368194677237697,0.0383334026880997,0.0,0.0071753759198886,0.0890726676503674,0.0003456368689028,1.0,703486,669890,1405376,0.5005678195728402,0.4766624732455941,2514431,949352,5687033,3136751,333997,235433,1351920,235877,27827,5.823639863990154,43.34745551565028,6.400990990502901,100891.62137032027,12731.0,6527986.633120347,11.015206785652342,198.72977461813596,0.3403253279450485,0.020145278288023073,11015.206785652343,6527986633.120346,NV,12250,10,No state-level incentive,0,Net billing; export credit at ~75% of retail,103.2252218623151
New Hampshire,NH,13702.09,852.76,305.46,4501.92,5302.59,244.19,1201.29,10921.53,482.32,0.0,495.21,19004.68,0.720985041579232,0.0448710528143594,0.0160728831003731,0.2368848094258887,0.2790149584207679,0.0128489403662676,0.0632102197984917,0.5746758166935724,0.0253790119065409,0.0,0.0260572658945059,1.0,424921,365654,806182,0.5270782528014766,0.453562595046776,748043,294287,5753719,2865364,49911,15693,650794,28590,1039,0.8336201285401625,46.486837171945446,1.5863420496215423,50726.075842688675,262.0,1104316.148032614,6.351554150067079,62.84317722831999,0.014236626578137753,0.0019891112213992618,6351.554150067079,1104316148.032614,NH,12250,7,No state-level incentive,0,Net metering; full retail credit,4.8138949434464475
New Jersey,NJ,33567.68,663.47,497.78,33394.32,34668.87,4690.9,0.0,28318.8,21.63,3.51,776.77,68236.55,0.4919310838546204,0.009723088286263,0.0072949174599243,0.4893905099246664,0.5080689161453796,0.0687446830181185,0.0,0.4150092582347729,0.0003169855451367,5.143870843411631e-05,0.0113834887607887,1.0,2608335,1883274,4549353,0.5733419675281298,0.413965238573485,8568294,3175119,52753049,25654624,839609,1182224,4958129,892763,28963,47.96976104033309,299.8436528631661,43.748224010399426,458828.2584231722,12621.0,21225339.168506317,83.00638747451836,1276.8528207703384,0.7305045737048875,0.05248478209731085,83006.38747451837,21225339168.506317,NJ,12250,8,No state-level incentive,0,Net metering; full retail credit,10.223651036928146
