region_name,state_name,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,existing_installs_count,percent_covered,count_qualified,number_of_panels_total,estimated_max_panels
1524,Massachusetts,978.35,28219471.4229553,72.0,94.42433019551048,1816.0,100618.0,28843.942784233965
1527,Massachusetts,978.35,69775333.86059567,141.0,94.35437726492466,3699.0,246987.0,71319.39884560298
1529,Massachusetts,978.35,4135630.413287355,4.0,43.55777223607648,382.0,15022.0,4227.1481711936985
1534,Massachusetts,978.35,509325.1733581543,0.0,4.685346807533303,62.0,1858.0,520.5960784567428
1535,Massachusetts,978.35,645107.8647155762,0.0,2.180549498473616,42.0,2241.0,659.3835178776268
1536,Massachusetts,978.35,16204574.279364008,27.0,49.78181818181818,954.0,57732.0,16563.166841482096
1537,Massachusetts,978.35,15596722.342242427,12.0,95.4066985645933,646.0,54781.0,15941.863691155953
1540,Massachusetts,978.35,54872875.92367552,8.0,95.03623984186252,3092.0,193912.0,56087.16300268362
1541,Massachusetts,978.35,1490015.286340332,0.0,7.899461400359066,79.0,5302.0,1522.9879760211907
1542,Massachusetts,978.35,11567603.086163327,16.0,91.35802469135804,573.0,41015.0,11823.58367267678
1543,Massachusetts,978.35,3467513.094329834,19.0,14.852941176470589,315.0,12611.0,3544.2460206775017
1545,Massachusetts,978.35,104076532.49666138,21.0,69.79695431472081,6069.0,371248.0,106379.65196163068
1560,Massachusetts,978.35,1670142.809417724,2.0,15.478615071283096,164.0,5911.0,1707.1015581517083
1562,Massachusetts,978.35,53799734.468518086,67.0,90.20464931452416,3145.0,190295.0,54990.273898418855
1564,Massachusetts,978.35,41295373.24243773,17.0,83.62369337979094,2161.0,147669.0,42209.20247604408
1566,Massachusetts,978.35,128264.26766357424,0.0,0.4387445156935538,11.0,461.0,131.10263981558157
1568,Massachusetts,978.35,2678293.9213745105,6.0,8.75,187.0,9588.0,2737.5621417432517
1569,Massachusetts,978.35,23947603.560424827,1.0,47.31525784157363,1825.0,84599.0,24477.542352353274
1570,Massachusetts,978.35,80311912.16453254,8.0,83.18958502847843,3947.0,283844.0,82089.14209079833
1571,Massachusetts,978.35,31971303.53096924,2.0,57.55395683453237,1973.0,114334.0,32678.799541032593
1581,Massachusetts,978.35,46028947.03939819,2.0,3.093883357041252,142.0,159592.0,47047.52597679582
1583,Massachusetts,978.35,41976938.84282837,9.0,95.00679347826087,2077.0,150932.0,42905.850506289535
1588,Massachusetts,978.35,14352698.626409903,1.0,27.99754676479608,608.0,49985.0,14670.31085645209
1590,Massachusetts,978.35,43506140.955236815,24.0,67.47756258856873,1956.0,152257.0,44468.89247737192
1602,Massachusetts,978.35,51080353.61792909,68.0,98.06798373038932,4505.0,182709.0,52210.71561090519
1603,Massachusetts,978.35,85873475.29750977,37.0,98.5008445945946,3536.0,299894.0,87773.77758216362
1604,Massachusetts,978.35,115010114.82125242,100.0,97.89485793166916,7116.0,404822.0,117555.1845671308
1605,Massachusetts,978.35,100008393.663324,63.0,97.8743961352657,3958.0,353135.0,102221.48889796494
