State,Residential_cap_24,Residential_cap_25,Residential_gen_24,Residential_gen_25,Commercial_cap_24,Commercial_cap_25,Commercial_gen_24,Commercial_gen_25,Industrial_cap_24,Industrial_cap_25,Industrial_gen_24,Industrial_gen_25,Total_cap_24,Total_cap_25,Total_gen_24,Total_gen_25,Residential_cap_prop_24,Residential_gen_prop_24,Residential_cap_prop_25,Residential_gen_prop_25,Residential_added_cap,Residential_added_gen,prop_cap_added
LA,173.381,194.045,18678.65,20881.097,14.769,14.639,1587.692,1581.07,0.086,0.106,9.154,11.307,188.236,208.79,20275.5,22473.47,0.005283767101251819,0.005702925844342298,0.005280431183827253,0.005666675965171686,20.663999999999987,2202.447,0.005252606285588348
MA,1207.528,1366.479,73602.393,91880.036,1368.369,1550.701,122787.105,141441.222,91.539,52.494,8461.589,4869.259,2667.44,2969.67,204851.09,238190.52,0.036799284352036304,0.022472126692514638,0.03718518036355011,0.024934245153897288,158.95100000000002,18277.642999999996,0.040403940268125924
MD,832.951,910.666,52630.826,63015.829,201.895,215.565,17911.153,19696.806,19.867,20.009,1890.698,1911.025,1054.71,1146.24,72432.68,84623.66,0.025384091052392154,0.016069132287637625,0.02478141227267505,0.017101126613207576,77.71500000000003,10385.002999999997,0.019754466583647833
ME,87.636,124.294,8178.028,11097.517,496.442,739.618,46339.57,68808.183,0.026,0.026,2.48,2.48,584.104,863.938,54520.08,79908.18,0.002670697560201547,0.0024968981825214858,0.0033823387026855863,0.0030116249571075786,36.658,2919.4889999999996,0.009318139818868455
MI,145.222,165.574,9103.353,10359.903,79.885,103.73,4946.362,6438.965,4.767,5.327,243.047,277.515,229.874,274.631,14292.76,17076.38,0.0044256246415581395,0.002779416451074943,0.004505666792914085,0.002811452546368136,20.352000000000004,1256.550000000001,0.005173298641322791
MN,170.525,200.18,11607.77,13621.716,66.033,85.181,4470.198,5757.615,15.69,15.852,1026.64,1035.042,252.248,301.213,17104.61,20414.37,0.00519673081214762,0.0035440597435136474,0.005447379290260196,0.003696637713123721,29.655,2013.946,0.007538039072741122
MO,318.297,300.36,31454.769,29568.714,156.867,162.412,15371.884,15895.254,11.902,22.853,1151.446,2198.987,487.066,485.625,47978.1,47662.96,0.009700066426120224,0.009603703429204836,0.008173518051866082,0.008024306431067081,-17.937000000000012,-1886.0550000000003,-0.004559426971767243
MS,11.363,12.146,1208.988,1293.339,5.348,5.697,566.264,603.751,0.448,0.0,46.472,0.0,17.159,18.203,1821.72,1934.48,0.00034628618805707904,0.0003691256547287789,0.00033052187461035236,0.00035098409945220703,0.7830000000000013,84.35099999999989,0.00019903168416645787
MT,48.107,70.727,3530.642,5192.891,11.3,13.605,825.803,992.54,0.0,0.0,0.0,0.0,59.407,84.332,4356.45,6185.43,0.0014660555882127873,0.0010779681352196425,0.001924651788701333,0.0014092377722998153,22.620000000000005,1662.2489999999998,0.005749804209253219
NC,374.317,427.692,43398.585,49572.669,116.735,129.367,13452.381,14896.05,11.155,12.136,1300.646,1415.223,502.207,569.195,58151.61,65883.94,0.011407269827946992,0.01325036402547218,0.011638528041812186,0.013452945118338921,53.375,6174.084000000003,0.013567453566263949
ND,0.953,1.235,46.689,60.071,0.938,0.996,49.04,52.462,0.0,0.0,0.0,0.0,1.891,2.231,95.73,112.533,2.904257125920939e-05,1.4254986562010504e-05,3.360732052888072e-05,1.6301964015771217e-05,0.28200000000000014,13.381999999999998,7.168190924002689e-05
NE,24.16,26.342,2341.752,2553.814,7.14,7.771,698.471,758.866,2.145,2.233,201.321,209.544,33.445,36.346,3241.54,3522.22,0.0007362733700131154,0.0007149787592700897,0.0007168291800581179,0.0006930496234617828,2.1819999999999986,212.0619999999999,0.0005546451275238954
NH,156.039,184.79,12267.649,14999.115,74.487,78.462,6804.48,7215.503,7.985,8.047,750.749,756.704,238.511,271.299,19822.88,22971.32,0.00475527153905118,0.003745532601736203,0.005028580372900297,0.004070433869894197,28.751000000000005,2731.4660000000003,0.0073082502573050085
NJ,1278.983,1398.32,82548.44,103429.579,905.955,826.428,81833.374,75373.81,126.163,147.838,12221.019,14320.1,2311.1,2372.59,176602.83,193123.49,0.038976867698654154,0.025203514808947086,0.03805165056027893,0.028068540144568367,119.33699999999999,20881.138999999996,0.030334411358074766
NM,304.772,333.106,45249.83,49723.055,75.508,80.314,11043.675,11855.106,0.557,0.557,83.935,83.935,380.837,413.977,56377.44,61662.1,0.009287893523412135,0.013815582226718495,0.009064615475379222,0.0134937566107475,28.334000000000003,4473.2249999999985,0.0072022525404500755
NV,870.61,1031.077,108127.286,129691.558,65.728,69.461,8384.099,8929.151,34.332,34.73,4918.336,4975.686,970.67,1135.27,121429.72,143596.4,0.026531744977943642,0.03301319387685893,0.028058085205632986,0.03519547055426588,160.46699999999998,21564.27200000001,0.04078929407808294
NY,1425.066,1587.724,96508.984,117380.688,1597.118,1863.805,129053.057,151154.031,12.672,15.895,1015.2,1323.445,3034.86,3467.42,226577.24,269858.16,0.043428731221486355,0.02946591852541898,0.04320578897117133,0.03185456795995519,162.6579999999999,20871.703999999998,0.04134622692611447
OH,171.545,216.639,11020.149,13498.722,143.079,134.978,10136.841,9350.929,32.066,36.528,2107.644,2408.9,346.69,388.145,23264.63,25258.55,0.005227815201113405,0.0033646485447611533,0.005895268268871408,0.0036632598142681038,45.09400000000002,2478.5730000000003,0.01146249650804884
OK,98.798,124.872,11585.121,14599.163,13.674,18.609,1607.975,2184.54,1.865,3.093,232.192,377.807,114.337,146.574,13425.29,17161.51,0.003010858295138898,0.0035371445988191157,0.0033980674729412086,0.003961895588326789,26.073999999999998,3014.0420000000013,0.006627780501859788
OR,290.596,346.15,15882.309,19279.865,98.366,117.939,5294.737,6426.825,15.477,17.109,863.521,941.491,404.439,481.198,22040.57,26648.18,0.008855881466570003,0.004849152934710499,0.00941957408993689,0.005232136396246557,55.553999999999974,3397.5560000000023,0.014121336120285283
PA,555.602,658.045,28747.569,36770.522,204.74,262.51,13756.857,17749.592,59.75,88.386,3583.729,5129.775,820.092,1008.94,46088.16,59649.89,0.016931910468792503,0.00877714686083381,0.017906987236783245,0.009978720622016012,102.44299999999998,8022.952999999998,0.026040105774028616
RI,146.181,151.582,11404.29,12932.655,303.6,69.905,28268.777,6411.682,5.604,5.85,527.205,550.348,455.385,227.337,40200.27,19894.69,0.004454850062164207,0.00348193366101803,0.004124910818144774,0.0035096415314941273,5.400999999999982,1528.3649999999998,0.0013728864957637723
SC,290.325,306.137,31115.925,32733.929,67.338,71.659,8016.188,8530.512,22.626,25.39,2686.775,3014.568,380.289,403.186,41818.89,44279.01,0.00884762277107027,0.009500248297019141,0.008330724117206442,0.008883276999763778,15.812000000000012,1618.0040000000008,0.004019270740791864
SD,2.653,3.992,259.199,393.813,1.467,1.61,143.299,157.354,0.0,0.0,0.0,0.0,4.12,5.602,402.498,551.166,8.084988620218523e-05,7.913808952615308e-05,0.00010863192190388,0.00010687229037210817,1.339,134.61399999999998,0.0003403619733063686
TN,16.064,17.435,1555.65,1683.56,33.057,37.199,2951.718,3477.99,0.03,0.0,2.965,0.0,49.151,54.664,4510.33,5164.52,0.0004895486513199787,0.00047496776211081073,0.0004744482861708787,0.0004568815990809507,1.3709999999999987,127.90999999999985,0.00034849609066693875
TX,2431.226,2736.903,283043.836,313258.45,275.948,312.688,32419.868,36764.924,0.0,0.0,0.0,0.0,2707.17,3058.43,315463.7,351071.85,0.07409134769385374,0.08641834433463783,0.07447771366595562,0.08501153600799499,305.6769999999997,30214.614,0.07770039351334633
UT,438.927,492.617,46857.843,52489.512,79.586,90.202,8402.669,9604.052,6.966,8.491,751.935,916.549,525.479,591.31,56012.45,63010.11,0.013376252544691502,0.014306537349050054,0.013405293455040997,0.014244512923530349,53.69,5631.669000000002,0.013647523784032063
VA,441.285,522.85,47781.124,56715.975,149.714,165.593,16244.576,17966.404,4.133,4.298,438.034,455.51,595.132,692.741,64463.74,75137.89,0.013448112338006524,0.014588431547854048,0.014228006104069053,0.01539148313777663,81.565,8934.850999999995,0.020733102578591456
VT,111.61,117.612,7645.838,8068.039,62.118,67.557,4472.283,5336.524,1.387,1.387,116.131,116.131,175.115,186.556,12234.25,13520.69,0.003401302600462078,0.0023344110592497004,0.0032005054105609053,0.0021894904605523264,6.001999999999995,422.201,0.0015256553874419888
WA,377.159,438.041,17853.57,20827.679,57.7,70.373,2708.05,3319.062,1.142,1.506,63.483,81.599,436.001,509.92,20625.1,24228.34,0.01149387946857519,0.005451014166804041,0.011920149224122621,0.0056521794807816396,60.882000000000005,2974.1090000000004,0.015475666660820267
WI,115.508,140.362,8190.581,10019.052,87.032,103.119,5981.848,7114.291,22.532,21.69,1588.298,1530.813,225.072,265.171,15760.73,18664.16,0.0035200937261372074,0.0025007308378859807,0.0038195876308297605,0.002718952991895268,24.854,1828.4709999999995,0.00631766727748804
WV,26.773,33.139,2456.976,3048.779,7.965,10.452,735.45,955.488,1.37,1.788,118.498,156.0,36.108,45.379,3310.92,4160.27,0.0008159042605695835,0.000750158706829924,0.0009017918987907514,0.0008273723685312207,6.366000000000003,591.8029999999999,0.0016181809724184794
WY,15.281,19.471,1452.375,1850.569,1.933,2.164,166.328,188.036,0.398,0.426,32.459,34.955,17.612,22.061,1651.16,2073.56,0.0004656868115550669,0.00044343605791514074,0.0005298527433342804,0.0005022042124602841,4.1899999999999995,398.19399999999996,0.0010650609918996896
