State,Data
MI,"{'1000-9999': 0.378198726901811, '10000-14999': 0.10399942790844441, '15000-19999': 0.07255059104884866, '20000-24999': 0.07255059104884866, '25000-29999': 0.0683611821357384, '30000-34999': 0.054425364152464496, '35000-39999': 0.0466244931991673, '40000-44999': 0.04068191787756127, '45000-49999': 0.036652714774849236, '50000-59999': 0.028023209283352078, '60000-74999': 0.026853190498667776, '75000-99999': 0.02067785931622073, '100000-124999': 0.01814272076942597, '125000-149999': 0.014852718335112376, '150000-199999': 0.013992576562637339, '200000-10000000': 0.000999969681247883}"
MN,"{'1000-9999': 0.30768650411761406, '10000-14999': 0.08546308225805224, '15000-19999': 0.06214804074910766, '20000-24999': 0.06214804074910766, '25000-29999': 0.053855860277146575, '30000-34999': 0.04443799804235699, '35000-39999': 0.037181819423701856, '40000-44999': 0.03242514176198418, '45000-49999': 0.02947562756888254, '50000-59999': 0.022535018964836378, '60000-74999': 0.02138626524992561, '75000-99999': 0.016606671889231924, '100000-124999': 0.014521034510359162, '125000-149999': 0.01175990341007398, '150000-199999': 0.011266408151328785, '200000-10000000': 0.0007784118893372791}"
MS,"{'1000-9999': 0.3233565761540132, '10000-14999': 0.10978355672124482, '15000-19999': 0.0775138386734076, '20000-24999': 0.0775138386734076, '25000-29999': 0.06669775899636565, '30000-34999': 0.05405213824871747, '35000-39999': 0.04563066233501126, '40000-44999': 0.039327398437378674, '45000-49999': 0.037337637150237815, '50000-59999': 0.028724282438105337, '60000-74999': 0.0251647905924527, '75000-99999': 0.019732789068020274, '100000-124999': 0.01716814482597939, '125000-149999': 0.013980753750314474, '150000-199999': 0.01294244277248947, '200000-10000000': 0.0005986091657430025}"
MO,"{'1000-9999': 0.2330298206404265, '10000-14999': 0.06992882608430676, '15000-19999': 0.051240787332099684, '20000-24999': 0.051240787332099684, '25000-29999': 0.0443594835718001, '30000-34999': 0.03598008227829727, '35000-39999': 0.03115644610635874, '40000-44999': 0.0264261082914596, '45000-49999': 0.023525249808994904, '50000-59999': 0.01867121799256937, '60000-74999': 0.01747830031316027, '75000-99999': 0.013510632680191401, '100000-124999': 0.012080997103020895, '125000-149999': 0.00969651869897234, '150000-199999': 0.009112835269633322, '200000-10000000': 0.0005414657110084061}"
MT,"{'1000-9999': 0.2171223231454709, '10000-14999': 0.057138464603579076, '15000-19999': 0.04000663523084209, '20000-24999': 0.04000663523084209, '25000-29999': 0.038425943308897606, '30000-34999': 0.031157182990189148, '35000-39999': 0.026442162066136803, '40000-44999': 0.022920789677375472, '45000-49999': 0.022070613976165936, '50000-59999': 0.01686103822021646, '60000-74999': 0.01505127174165954, '75000-99999': 0.011604890911857497, '100000-124999': 0.009862145037521988, '125000-149999': 0.008081678331208963, '150000-199999': 0.0068644214394944164, '200000-10000000': 0.0006708640655167517}"
NE,"{'1000-9999': 0.2382554471091899, '10000-14999': 0.06452029104649883, '15000-19999': 0.04659093027044802, '20000-24999': 0.04659093027044802, '25000-29999': 0.04105952578487218, '30000-34999': 0.03382660677125492, '35000-39999': 0.027945865297181616, '40000-44999': 0.02432682419719242, '45000-49999': 0.022191632472724116, '50000-59999': 0.017228507215151682, '60000-74999': 0.015971204988410228, '75000-99999': 0.012587878174572301, '100000-124999': 0.01091014428204715, '125000-149999': 0.008953409114878389, '150000-199999': 0.008557924578994573, '200000-10000000': 0.0006712234088394923}"
NV,"{'1000-9999': 0.23576667920186006, '10000-14999': 0.07072732548565099, '15000-19999': 0.05135146030719526, '20000-24999': 0.05135146030719526, '25000-29999': 0.04697391988521946, '30000-34999': 0.03736555556806079, '35000-39999': 0.03222092483300144, '40000-44999': 0.027906713057051866, '45000-49999': 0.026682885315044678, '50000-59999': 0.02051638773468041, '60000-74999': 0.01844532155914968, '75000-99999': 0.014102596010754961, '100000-124999': 0.011860009368968973, '125000-149999': 0.009712941572268723, '150000-199999': 0.008542607013260317, '200000-10000000': 0.0004745563678909017}"
NH,"{'1000-9999': 0.43619487153946523, '10000-14999': 0.1217486537733234, '15000-19999': 0.08969756151809073, '20000-24999': 0.08969756151809073, '25000-29999': 0.0739378553769078, '30000-34999': 0.06001912140403952, '35000-39999': 0.05076363777350056, '40000-44999': 0.04437489567270604, '45000-49999': 0.04279905041252031, '50000-59999': 0.03254963259237924, '60000-74999': 0.03086820134771301, '75000-99999': 0.023747007800156893, '100000-124999': 0.020326135505087994, '125000-149999': 0.016640288557312602, '150000-199999': 0.015386036284046556, '200000-10000000': 0.001281272481123099}"
NJ,"{'1000-9999': 0.3085134394696497, '10000-14999': 0.07632071297582953, '15000-19999': 0.05732987265671885, '20000-24999': 0.05732987265671885, '25000-29999': 0.049085529851525186, '30000-34999': 0.039915044544789946, '35000-39999': 0.03400065567760837, '40000-44999': 0.028907393423543596, '45000-49999': 0.027469339327359062, '50000-59999': 0.021527929980853868, '60000-74999': 0.020165973572651808, '75000-99999': 0.015708061054734653, '100000-124999': 0.013511268067465157, '125000-149999': 0.011030199791833294, '150000-199999': 0.009998448220017829, '200000-10000000': 0.0007898670981095849}"
NM,"{'1000-9999': 0.24734474001398604, '10000-14999': 0.07049513672270347, '15000-19999': 0.049603950393040226, '20000-24999': 0.049603950393040226, '25000-29999': 0.04661140022013679, '30000-34999': 0.037513067830534215, '35000-39999': 0.03215739316000181, '40000-44999': 0.02779312331381276, '45000-49999': 0.026889377354652105, '50000-59999': 0.020549131534870285, '60000-74999': 0.018405292722577075, '75000-99999': 0.014233516850906083, '100000-124999': 0.012107820688217464, '125000-149999': 0.009744939057128362, '150000-199999': 0.008761472845230968, '200000-10000000': 0.0006247935114639247}"
