State,Data
MI,"{'1000-9999': 0.8067019309390534, '10000-14999': 0.8614647920218813, '15000-19999': 0.8639693681910083, '20000-24999': 0.8639693681910083, '25000-29999': 0.7378097361322248, '30000-34999': 0.7392440578458099, '35000-39999': 0.7445800488471954, '40000-44999': 0.7429718418803883, '45000-49999': 0.718592573240549, '50000-59999': 0.7230795969867932, '60000-74999': 0.6229190011765964, '75000-99999': 0.6241194454401119, '100000-124999': 0.5480695827980118, '125000-149999': 0.553790330304043, '150000-199999': 0.45855711465234084, '200000-10000000': 0.4604685224456183}"
MN,"{'1000-9999': 0.8435384201632933, '10000-14999': 0.8938551471266942, '15000-19999': 0.8747928827092045, '20000-24999': 0.8747928827092045, '25000-29999': 0.7737917345932455, '30000-34999': 0.7728404369022812, '35000-39999': 0.7652177762706706, '40000-44999': 0.7709512694547459, '45000-49999': 0.7419651068766012, '50000-59999': 0.7533302787246776, '60000-74999': 0.6516068754218958, '75000-99999': 0.6483433495094084, '100000-124999': 0.5726898398561492, '125000-149999': 0.5759899810852305, '150000-199999': 0.4777000631978611, '200000-10000000': 0.4790126017149218}"
MS,"{'1000-9999': 0.7053780634498336, '10000-14999': 0.6570131744768631, '15000-19999': 0.6618317886147131, '20000-24999': 0.6618317886147131, '25000-29999': 0.6108634311548874, '30000-34999': 0.6095712704409345, '35000-39999': 0.6101908297612623, '40000-44999': 0.6116174129747216, '45000-49999': 0.568187692455498, '50000-59999': 0.56943260019877, '60000-74999': 0.5316534069869413, '75000-99999': 0.531434408565963, '100000-124999': 0.4728401393929664, '125000-149999': 0.47376408193548336, '150000-199999': 0.39868773276726643, '200000-10000000': 0.3959150110575343}"
MO,"{'1000-9999': 0.9010760446358758, '10000-14999': 0.9515623016333661, '15000-19999': 0.9505267070982271, '20000-24999': 0.9505267070982271, '25000-29999': 0.8281810635485933, '30000-34999': 0.8284480087607283, '35000-39999': 0.8235622612597449, '40000-44999': 0.8338769882342382, '45000-49999': 0.8164592287251373, '50000-59999': 0.8085598368006536, '60000-74999': 0.7000412222883484, '75000-99999': 0.69959359657218, '100000-124999': 0.6159150888623671, '125000-149999': 0.6170534803959797, '150000-199999': 0.5149023209701336, '200000-10000000': 0.5148859133193994}"
MT,"{'1000-9999': 1.056571269384248, '10000-14999': 1.0971320907806696, '15000-19999': 1.0948399196189316, '20000-24999': 1.0948399196189316, '25000-29999': 0.9012596998425775, '30000-34999': 0.9057243920267833, '35000-39999': 0.9125557695073606, '40000-44999': 0.9027759020342293, '45000-49999': 0.8324040099518225, '50000-59999': 0.835431099256154, '60000-74999': 0.7648331641166387, '75000-99999': 0.7631112627851422, '100000-124999': 0.7005811963953256, '125000-149999': 0.703147766244416, '150000-199999': 0.6345624118666352, '200000-10000000': 0.6327272096395479}"
NE,"{'1000-9999': 0.8904450991058316, '10000-14999': 0.9574314637091002, '15000-19999': 0.954384598259803, '20000-24999': 0.954384598259803, '25000-29999': 0.8332288243697105, '30000-34999': 0.8321587597831173, '35000-39999': 0.8423207086479039, '40000-44999': 0.8378470702765509, '45000-49999': 0.8108101184844803, '50000-59999': 0.814907928655963, '60000-74999': 0.7055920336575453, '75000-99999': 0.7059411672428147, '100000-124999': 0.6274703776817653, '125000-149999': 0.6213910670705596, '150000-199999': 0.5194301356610774, '200000-10000000': 0.5185455953289505}"
NV,"{'1000-9999': 1.4094165578513134, '10000-14999': 1.441103277665647, '15000-19999': 1.4442157888655625, '20000-24999': 1.4442157888655625, '25000-29999': 1.2122242426268315, '30000-34999': 1.205751074787985, '35000-39999': 1.214463787437161, '40000-44999': 1.2143152047705046, '45000-49999': 1.1081029187505926, '50000-59999': 1.104867222463446, '60000-74999': 1.013068430361842, '75000-99999': 1.0185523046712655, '100000-124999': 0.9373769252920879, '125000-149999': 0.9350161660999807, '150000-199999': 0.8386688033821874, '200000-10000000': 0.8444549526914266}"
NH,"{'1000-9999': 1.0072509573141013, '10000-14999': 1.0865151468740553, '15000-19999': 1.0762519106622526, '20000-24999': 1.0762519106622526, '25000-29999': 0.9925859849135892, '30000-34999': 0.9966893153595309, '35000-39999': 0.9898289319241573, '40000-44999': 0.9926815746964635, '45000-49999': 0.9136356024300324, '50000-59999': 0.9141611410609665, '60000-74999': 0.7925001835986425, '75000-99999': 0.7935579620900701, '100000-124999': 0.7208011199942802, '125000-149999': 0.7205715283281439, '150000-199999': 0.6217277656892314, '200000-10000000': 0.6211557223577525}"
NJ,"{'1000-9999': 1.0378065551087154, '10000-14999': 1.113007227514653, '15000-19999': 1.1050376073730177, '20000-24999': 1.1050376073730177, '25000-29999': 1.0256109916666534, '30000-34999': 1.0169285881508408, '35000-39999': 1.0192429307792372, '40000-44999': 1.0227601039920688, '45000-49999': 0.9486248832858603, '50000-59999': 0.9434756359597257, '60000-74999': 0.8174311073512592, '75000-99999': 0.8146262236467509, '100000-124999': 0.7346535263137594, '125000-149999': 0.736221064562981, '150000-199999': 0.6417890673517324, '200000-10000000': 0.638830452844634}"
NM,"{'1000-9999': 1.4628805393488293, '10000-14999': 1.4851892591726865, '15000-19999': 1.506524607241292, '20000-24999': 1.506524607241292, '25000-29999': 1.2440622556258776, '30000-34999': 1.2572925252801803, '35000-39999': 1.2518595624611744, '40000-44999': 1.2571916592916919, '45000-49999': 1.1419280329631638, '50000-59999': 1.1582227336278519, '60000-74999': 1.0531165530958357, '75000-99999': 1.0526972113260757, '100000-124999': 0.9662024163127954, '125000-149999': 0.972030040378012, '150000-199999': 0.8758064464416294, '200000-10000000': 0.8739944534727422}"
NY,"{'1000-9999': 1.0605438568319758, '10000-14999': 1.096124924169347, '15000-19999': 1.104724568325631, '20000-24999': 1.104724568325631, '25000-29999': 0.9945407603659658, '30000-34999': 1.0050536736674425, '35000-39999': 0.9987271498802793, '40000-44999': 0.993654630130423, '45000-49999': 0.924117513648185, '50000-59999': 0.9218869768002518, '60000-74999': 0.7945509457409188, '75000-99999': 0.7985323438000029, '100000-124999': 0.7240882367755591, '125000-149999': 0.7255741914624897, '150000-199999': 0.6246539202333263, '200000-10000000': 0.6239615420317552}"
NC,"{'1000-9999': 0.6983885860315096, '10000-14999': 0.6560045524035087, '15000-19999': 0.6567550829716206, '20000-24999': 0.6567550829716206, '25000-29999': 0.6069983983951791, '30000-34999': 0.6070394990367065, '35000-39999': 0.607570197474064, '40000-44999': 0.6055733987950984, '45000-49999': 0.5697836187000582, '50000-59999': 0.5697223264611848, '60000-74999': 0.5275705552494495, '75000-99999': 0.5284511985504224, '100000-124999': 0.4698380660761258, '125000-149999': 0.46901178315044434, '150000-199999': 0.3964203406370718, '200000-10000000': 0.3959359168479668}"
ND,"{'1000-9999': 0.826330706020978, '10000-14999': 0.8712297463843458, '15000-19999': 0.8835217264297698, '20000-24999': 0.8835217264297698, '25000-29999': 0.7578590297871761, '30000-34999': 0.7599613537314931, '35000-39999': 0.7566213081465042, '40000-44999': 0.7595407137577757, '45000-49999': 0.7490780749180724, '50000-59999': 0.7433208143528802, '60000-74999': 0.6426954685261015, '75000-99999': 0.6434449071742927, '100000-124999': 0.5650843856496172, '125000-149999': 0.5679316930753424, '150000-199999': 0.47268899264246933, '200000-10000000': 0.4753035383000054}"
OH,"{'1000-9999': 0.8401076971827383, '10000-14999': 0.8730512926999894, '15000-19999': 0.859473223582532, '20000-24999': 0.859473223582532, '25000-29999': 0.7466640534196491, '30000-34999': 0.7467092781177058, '35000-39999': 0.7442206328351075, '40000-44999': 0.7416403921968767, '45000-49999': 0.725322335250436, '50000-59999': 0.7297249566151309, '60000-74999': 0.6318956569713607, '75000-99999': 0.6333366507056833, '100000-124999': 0.5577507975981527, '125000-149999': 0.5575552414353924, '150000-199999': 0.4648814378239763, '200000-10000000': 0.46346173346900355}"
OK,"{'1000-9999': 0.7351994835570757, '10000-14999': 0.6818301966910657, '15000-19999': 0.6828397278652018, '20000-24999': 0.6828397278652018, '25000-29999': 0.6331956726396419, '30000-34999': 0.6332691915042518, '35000-39999': 0.6344011277209203, '40000-44999': 0.6317967723977242, '45000-49999': 0.5909884260477075, '50000-59999': 0.5938469568019312, '60000-74999': 0.5508528201660061, '75000-99999': 0.5530907706972839, '100000-124999': 0.489690887345237, '125000-149999': 0.4880619499134809, '150000-199999': 0.4142849852655558, '200000-10000000': 0.4131332347491863}"
OR,"{'1000-9999': 0.9456887700090872, '10000-14999': 0.9568475157994838, '15000-19999': 0.9652912095849842, '20000-24999': 0.9652912095849842, '25000-29999': 0.7995711478657063, '30000-34999': 0.8112591128126414, '35000-39999': 0.8043921454454379, '40000-44999': 0.8063582463804039, '45000-49999': 0.7440496475679861, '50000-59999': 0.7485214488897899, '60000-74999': 0.6818425664253261, '75000-99999': 0.6805673839667102, '100000-124999': 0.6246424330994272, '125000-149999': 0.6262999823009903, '150000-199999': 0.5628208131588726, '200000-10000000': 0.5640292442542933}"
PA,"{'1000-9999': 1.0516852127796177, '10000-14999': 1.0700635703161514, '15000-19999': 1.0929426987809878, '20000-24999': 1.0929426987809878, '25000-29999': 0.9886245687101026, '30000-34999': 0.9903400809846292, '35000-39999': 0.9962823101055147, '40000-44999': 0.9898692869224139, '45000-49999': 0.906117929208398, '50000-59999': 0.9211419492853405, '60000-74999': 0.7916905941023831, '75000-99999': 0.7942625176295862, '100000-124999': 0.7177608160452118, '125000-149999': 0.7244743430253268, '150000-199999': 0.621894203999255, '200000-10000000': 0.6201792785964572}"
RI,"{'1000-9999': 1.0699444246332783, '10000-14999': 1.0919893388002873, '15000-19999': 1.1062155922071786, '20000-24999': 1.1062155922071786, '25000-29999': 1.0131430682387903, '30000-34999': 0.9940789558920753, '35000-39999': 1.0185143899181242, '40000-44999': 1.0052131399524735, '45000-49999': 0.9429562365518459, '50000-59999': 0.9274139442501379, '60000-74999': 0.8038754935806514, '75000-99999': 0.8084555084280228, '100000-124999': 0.7363062066310158, '125000-149999': 0.7319331545912265, '150000-199999': 0.6314679447807883, '200000-10000000': 0.6347884298782516}"
