zip,state_code,group_id
72223,AR,0
72227,AR,0
72364,AR,0
72376,AR,0
72401,AR,0
72404,AR,0
72411,AR,0
72416,AR,0
72417,AR,0
72701,AR,0
72703,AR,0
72704,AR,0
72712,AR,0
72718,AR,0
72719,AR,0
72730,AR,0
72745,AR,0
72753,AR,0
72756,AR,0
72758,AR,0
72762,AR,0
72764,AR,0
72774,AR,0
72801,AR,0
72802,AR,0
72834,AR,0
72837,AR,0
72847,AR,0
72858,AR,0
72901,AR,0
72903,AR,0
72904,AR,0
72908,AR,0
72916,AR,0
72921,AR,0
72923,AR,0
72941,AR,0
72956,AR,0
85003,AZ,0
85004,AZ,0
85006,AZ,0
85007,AZ,0
85008,AZ,0
85009,AZ,0
85012,AZ,0
85013,AZ,0
85014,AZ,0
85015,AZ,0
85016,AZ,0
85017,AZ,0
85018,AZ,0
85019,AZ,0
85020,AZ,0
85021,AZ,0
85022,AZ,0
85023,AZ,0
85024,AZ,0
85027,AZ,0
85028,AZ,0
85029,AZ,0
85031,AZ,0
85032,AZ,0
85033,AZ,0
85034,AZ,0
85035,AZ,0
85037,AZ,0
85040,AZ,0
85041,AZ,0
85042,AZ,0
85043,AZ,0
85044,AZ,0
85045,AZ,0
85048,AZ,0
85050,AZ,0
85051,AZ,0
85053,AZ,0
85054,AZ,0
85083,AZ,1
85085,AZ,0
85118,AZ,0
85119,AZ,0
85120,AZ,0
85132,AZ,0
85140,AZ,0
85142,AZ,0
85143,AZ,0
85201,AZ,0
85202,AZ,0
85203,AZ,0
85204,AZ,0
85205,AZ,0
85206,AZ,0
85207,AZ,0
85208,AZ,0
85209,AZ,0
85210,AZ,0
85212,AZ,0
85213,AZ,0
85215,AZ,0
85224,AZ,0
85225,AZ,0
85226,AZ,0
85233,AZ,0
85234,AZ,0
85248,AZ,0
85249,AZ,0
85250,AZ,0
85251,AZ,0
85253,AZ,0
85254,AZ,0
85255,AZ,0
85256,AZ,0
85257,AZ,0
85258,AZ,0
85259,AZ,0
85260,AZ,0
85262,AZ,0
85266,AZ,0
85268,AZ,0
85281,AZ,0
85282,AZ,0
85283,AZ,0
85284,AZ,0
85286,AZ,0
85295,AZ,0
85296,AZ,0
85297,AZ,0
85298,AZ,0
85301,AZ,0
85302,AZ,0
85303,AZ,0
85304,AZ,0
85305,AZ,0
85306,AZ,0
85307,AZ,0
85308,AZ,0
85310,AZ,0
85323,AZ,0
85326,AZ,0
85329,AZ,0
85331,AZ,0
85335,AZ,0
85338,AZ,0
85339,AZ,0
85340,AZ,0
85345,AZ,0
85350,AZ,0
85351,AZ,0
85353,AZ,0
85355,AZ,0
85363,AZ,0
85364,AZ,0
85365,AZ,0
85367,AZ,0
85373,AZ,0
85374,AZ,0
85375,AZ,0
85377,AZ,0
85378,AZ,0
85379,AZ,0
85381,AZ,0
85382,AZ,0
85383,AZ,0
85387,AZ,0
85388,AZ,0
85392,AZ,0
85395,AZ,0
85396,AZ,0
85607,AZ,0
85621,AZ,0
85626,AZ,0
85648,AZ,0
85658,AZ,0
85701,AZ,0
85704,AZ,0
85705,AZ,0
85706,AZ,0
85708,AZ,1
85710,AZ,0
85711,AZ,0
85712,AZ,0
85713,AZ,0
85714,AZ,0
85715,AZ,0
85716,AZ,0
85718,AZ,0
85719,AZ,0
85730,AZ,0
85735,AZ,0
85736,AZ,0
85737,AZ,0
85739,AZ,0
85741,AZ,0
85742,AZ,0
85743,AZ,0
85745,AZ,0
85746,AZ,0
85747,AZ,0
85748,AZ,0
85749,AZ,0
85750,AZ,0
85755,AZ,0
85756,AZ,0
85757,AZ,0
85901,AZ,0
85929,AZ,0
86001,AZ,0
86004,AZ,0
86005,AZ,0
86011,AZ,0
86040,AZ,0
86301,AZ,0
86303,AZ,0
86305,AZ,0
86314,AZ,0
86315,AZ,0
86323,AZ,0
86325,AZ,0
86327,AZ,0
86329,AZ,0
86336,AZ,0
86351,AZ,0
86403,AZ,0
86404,AZ,0
86406,AZ,0
86434,AZ,0
90001,CA,1
90002,CA,1
90003,CA,1
90004,CA,1
90005,CA,1
90006,CA,1
90007,CA,1
90008,CA,1
90010,CA,1
90011,CA,1
90012,CA,1
90013,CA,1
90014,CA,1
90015,CA,1
90016,CA,1
90017,CA,1
90018,CA,1
90019,CA,1
90020,CA,1
90021,CA,1
90022,CA,1
90023,CA,1
90024,CA,1
90025,CA,1
90026,CA,1
90027,CA,1
90028,CA,1
90029,CA,1
90031,CA,1
90032,CA,1
90033,CA,1
90034,CA,1
90035,CA,1
90036,CA,1
90037,CA,1
90038,CA,1
90039,CA,1
90040,CA,1
90041,CA,1
90042,CA,1
90043,CA,1
90044,CA,1
90045,CA,1
90046,CA,1
90047,CA,1
90048,CA,1
90049,CA,1
90056,CA,1
90057,CA,1
90058,CA,1
90059,CA,1
90061,CA,1
90062,CA,1
90063,CA,1
90064,CA,1
90065,CA,1
90066,CA,1
90067,CA,1
90068,CA,1
90069,CA,1
90077,CA,1
90094,CA,1
90201,CA,1
90210,CA,1
90211,CA,1
90212,CA,1
90220,CA,1
90221,CA,1
90222,CA,1
90230,CA,1
90232,CA,1
90240,CA,1
90241,CA,1
90242,CA,1
90245,CA,1
90247,CA,1
90248,CA,1
90249,CA,1
90250,CA,1
90254,CA,1
90255,CA,1
90260,CA,1
90262,CA,1
90265,CA,1
90266,CA,1
90270,CA,1
90272,CA,1
90274,CA,1
90275,CA,1
90277,CA,1
90278,CA,1
90280,CA,1
90290,CA,1
90291,CA,1
90292,CA,1
90293,CA,1
90301,CA,1
90302,CA,1
90303,CA,1
90304,CA,1
90305,CA,1
90401,CA,1
90402,CA,1
90403,CA,1
90404,CA,1
90405,CA,1
90501,CA,1
90502,CA,1
90503,CA,1
90504,CA,1
90505,CA,1
90601,CA,1
90602,CA,1
90603,CA,1
90604,CA,1
90605,CA,1
90606,CA,1
90620,CA,1
90621,CA,1
90623,CA,1
90630,CA,1
90631,CA,1
90638,CA,1
90640,CA,1
90650,CA,1
90660,CA,1
90670,CA,1
90680,CA,1
90701,CA,1
90703,CA,1
90706,CA,1
90710,CA,1
90712,CA,1
90713,CA,1
90715,CA,1
90716,CA,1
90717,CA,1
90720,CA,1
90723,CA,1
90731,CA,1
90732,CA,1
90740,CA,1
90744,CA,1
90745,CA,1
90746,CA,1
90755,CA,1
90802,CA,1
90803,CA,1
90804,CA,1
90805,CA,1
90806,CA,1
90807,CA,1
90808,CA,1
90810,CA,1
90813,CA,1
90814,CA,1
90815,CA,1
91001,CA,1
91006,CA,1
91007,CA,1
91008,CA,1
91010,CA,1
91011,CA,1
91016,CA,1
91020,CA,1
91024,CA,1
91030,CA,1
91040,CA,1
91042,CA,1
91101,CA,1
91103,CA,1
91104,CA,1
91105,CA,1
91106,CA,1
91107,CA,1
91108,CA,1
91201,CA,1
91202,CA,1
91203,CA,1
91204,CA,1
91205,CA,1
91206,CA,1
91207,CA,1
91208,CA,1
91214,CA,1
91301,CA,1
91302,CA,1
91303,CA,1
91304,CA,1
91306,CA,1
91307,CA,1
91311,CA,1
91316,CA,1
91320,CA,1
91321,CA,1
91324,CA,1
91325,CA,1
91326,CA,1
91331,CA,1
91335,CA,1
91340,CA,1
91342,CA,1
91343,CA,1
91344,CA,1
91345,CA,1
91350,CA,1
91351,CA,1
91352,CA,1
91354,CA,1
91355,CA,1
91356,CA,1
91360,CA,1
91361,CA,1
91362,CA,1
91364,CA,1
91367,CA,1
91377,CA,1
91381,CA,1
91384,CA,1
91387,CA,1
91390,CA,1
91401,CA,1
91402,CA,1
91403,CA,1
91405,CA,1
91406,CA,1
91411,CA,1
91423,CA,1
91436,CA,1
91501,CA,1
91502,CA,1
91504,CA,1
91505,CA,1
91506,CA,1
91601,CA,1
91602,CA,1
91604,CA,1
91605,CA,1
91606,CA,1
91607,CA,1
91701,CA,1
91702,CA,1
91706,CA,1
91708,CA,1
91709,CA,1
91710,CA,1
91711,CA,1
91722,CA,1
91723,CA,1
91724,CA,1
91730,CA,1
91731,CA,1
91732,CA,1
91733,CA,1
91737,CA,1
91739,CA,1
91740,CA,1
91741,CA,1
91744,CA,1
91745,CA,1
91746,CA,1
91748,CA,1
91750,CA,1
91752,CA,1
91754,CA,1
91755,CA,1
