zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
35150,14.907473612860656,10798.143385219959,0.0,0.0,0.0,0.0,0.0
35151,15.025890623325042,10964.547508713133,0.0,0.0,0.0,0.0,0.0
35160,14.91414245575405,10807.615933310102,0.0,0.0,0.0,0.0,0.0
35173,15.103266504431522,10796.126983255253,0.0,0.0,0.0,0.0,0.0
35176,14.915438140551796,10569.511440994422,0.0,0.0,0.0,0.0,0.0
35179,16.54930048317575,11605.638329634845,0.0,0.0,0.0,0.0,0.0
35184,14.998592350389282,10913.028758634915,0.0,0.0,0.0,0.0,0.0
35188,14.945397729894106,11003.621554685107,0.0,0.0,0.0,0.0,0.0
35203,15.115210374237217,10924.680477506148,0.0,0.0,0.0,0.0,0.0
35204,14.928487893590532,10634.056565381914,0.0,0.0,0.0,0.0,0.0
35205,14.956566276241984,10643.45937169803,0.0,0.0,0.0,0.0,0.0
35206,15.069132630670795,10823.90725096377,0.0,0.0,0.0,0.0,0.0
35207,14.9657490674256,10570.326879718852,0.0,0.0,0.0,0.0,0.0
35208,15.04003300521896,10861.450745258639,0.0,0.0,0.0,0.0,0.0
35209,15.062786595304521,10776.362929466832,0.0,0.0,0.0,0.0,0.0
35210,15.145364260512114,11034.422416274692,0.0,0.0,0.0,0.0,0.0
35211,15.053189046251864,10798.795016451932,0.0,0.0,0.0,0.0,0.0
35212,15.016513383138788,10630.109011712995,0.0,0.0,0.0,0.0,0.0
35213,15.11235746745957,10604.723689592263,0.0,0.0,0.0,0.0,0.0
35214,14.95978172852949,10746.868184341338,0.0,0.0,0.0,0.0,0.0
35215,15.062910215975425,10901.306743237768,0.0,0.0,0.0,0.0,0.0
35216,15.062405198741192,10830.030509663755,0.0,0.0,0.0,0.0,0.0
35217,15.02661528780063,10784.997657410102,0.0,0.0,0.0,0.0,0.0
35218,14.905439184530527,10603.292387643796,0.0,0.0,0.0,0.0,0.0
35221,14.964252551428318,10710.716575266719,0.0,0.0,0.0,0.0,0.0
35222,15.1001199932284,10832.373214354473,0.0,0.0,0.0,0.0,0.0
35223,15.087279096496873,10519.490557520634,0.0,0.0,0.0,0.0,0.0
35224,14.995254599522324,10903.703022431315,0.0,0.0,0.0,0.0,0.0
35226,15.14445541233341,10829.74729381301,0.0,0.0,0.0,0.0,0.0
35228,15.015563441186643,10789.069495575479,0.0,0.0,0.0,0.0,0.0
35233,14.86210517594998,10380.826819099359,0.0,0.0,0.0,0.0,0.0
35234,14.938796677479042,10573.481898976697,0.0,0.0,0.0,0.0,0.0
35235,15.092008863775096,10942.387778319206,0.0,0.0,0.0,0.0,0.0
35242,15.02902207825789,10696.364542481933,0.0,0.0,0.0,0.0,0.0
35243,15.039191949294795,10640.380109353908,0.0,0.0,0.0,0.0,0.0
35244,15.104890971682199,10871.768779847995,0.0,0.0,0.0,0.0,0.0
35401,14.764245068240902,10557.486717273643,0.0,0.0,0.0,0.0,0.0
35404,14.731022805212072,10502.287337994409,0.0,0.0,0.0,0.0,0.0
35405,14.879587868221172,10840.606689865235,0.0,0.0,0.0,0.0,0.0
35406,14.906351611814525,10701.203608722299,0.0,0.0,0.0,0.0,0.0
35444,14.851904031412179,10812.414897800858,0.0,0.0,0.0,0.0,0.0
35452,14.869912775108817,10882.74767752648,0.0,0.0,0.0,0.0,0.0
35453,14.904716099901234,10882.070677840667,0.0,0.0,0.0,0.0,0.0
35456,14.817784862387136,10744.243456962828,0.0,0.0,0.0,0.0,0.0
35463,14.849930874024867,10852.850679835312,0.0,0.0,0.0,0.0,0.0
35473,14.845856716192442,10732.920731747607,0.0,0.0,0.0,0.0,0.0
35474,14.899396220705544,10927.718840225287,0.0,0.0,0.0,0.0,0.0
35475,14.949500823129933,10915.31073084321,0.0,0.0,0.0,0.0,0.0
35476,14.748613109645431,10555.922343379896,0.0,0.0,0.0,0.0,0.0
35490,14.953813413182269,10993.697965653215,0.0,0.0,0.0,0.0,0.0
35601,16.474897761617424,11534.318335863638,0.0,0.0,0.0,0.0,0.0
35603,16.44438788514896,11424.705895553858,0.0,0.0,0.0,0.0,0.0
35611,16.53323938376722,11478.883876488579,0.0,0.0,0.0,0.0,0.0
35613,16.53232096310063,11446.320493630044,0.0,0.0,0.0,0.0,0.0
35614,16.561149465180858,11513.610319554287,0.0,0.0,0.0,0.0,0.0
35616,16.589382239019876,11492.790817434241,0.0,0.0,0.0,0.0,0.0
35630,16.45355077491878,11332.275764835278,0.0,0.0,0.0,0.0,0.0
35633,16.55339071906912,11532.262026970018,0.0,0.0,0.0,0.0,0.0
35634,16.64150888556486,11659.01894057046,0.0,0.0,0.0,0.0,0.0
