zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_500_incentive,prop_adopt_2_years_500_incentive,prop_adopt_3_years_500_incentive,prop_adopt_4_years_500_incentive,prop_adopt_5_years_500_incentive
36523,14.450190717399916,10622.865238785282,0.01,0.01,0.01,0.01,0.01
36526,15.306971689279903,11025.684881560612,0.006,0.006,0.006,0.006,0.006
36527,14.130673054677883,10443.529608271418,0.0,0.0,0.0,0.0,0.0
36530,15.274470157808942,11029.92562226061,0.004,0.004,0.004,0.004,0.004
36532,14.033002955219112,10321.613825275459,0.01,0.01,0.01,0.01,0.01
36535,14.082044836998731,10425.281691907869,0.0,0.0,0.0,0.0,0.0
36541,14.550349903491298,10832.616311293981,0.0,0.0,0.0,0.0,0.0
36542,15.364503244200018,11102.82211875837,0.001,0.001,0.001,0.001,0.001
36544,14.432378250727044,10502.696787651728,0.016,0.016,0.016,0.016,0.016
36551,14.128620609721917,10591.375268478825,0.0,0.0,0.0,0.0,0.0
36555,15.289442988833692,10803.890894727147,0.01,0.01,0.01,0.01,0.01
36561,15.364420987562744,10998.505187989935,0.0,0.0,0.0,0.0,0.0
36567,15.3254290255793,11052.33490519605,0.004,0.004,0.004,0.004,0.004
36571,14.53286818804413,10703.775975435883,0.0,0.0,0.0,0.0,0.0
36572,14.541514728493299,10697.17339749391,0.001,0.001,0.001,0.001,0.001
36575,14.525107704845428,10747.897007054828,0.004,0.004,0.004,0.004,0.004
36576,15.305272413846541,11096.016448020251,0.002,0.002,0.002,0.002,0.002
36580,15.198243848916233,10838.499805232066,0.016,0.016,0.016,0.016,0.016
36582,14.515221367111813,10683.156841996044,0.0,0.0,0.0,0.0,0.0
36587,14.492716964941541,10651.195758817881,0.006,0.006,0.006,0.006,0.006
36602,14.45516212784191,10455.28525715856,0.017,0.017,0.017,0.017,0.017
36603,14.52103666112083,10532.901469561826,0.0,0.0,0.0,0.0,0.0
36604,14.433185326211033,10512.799824827258,0.016,0.016,0.016,0.016,0.016
36605,14.473208292405436,10598.39789661308,0.002,0.002,0.002,0.002,0.002
36606,14.482295270019188,10608.649976703999,0.007,0.007,0.007,0.007,0.007
