State code,portion_of_income_spent_on_electricity,income,npv_per_install,npv_right_size,right_sized_multiplier,ov_per_install,needed_phi_per_install,energy_consumption_kwh,prop_adopted_status_quo,prop_adopted_per_year_average,median_npv,median_elec_consumption,median_energy_ratio,cutoff_energy_ratio,elec_cost,payback_period_status_quo,payback_period_first_year_cutoff,payback_period_new_year_added
MI,0.00024889061768239664,9496812.04535547,[1316.05219668],2772.1912709610842,1.0871556122797146,[2.29003326],[0.47473355],13234.420022296461,[0.00599024],0.0006985856001683079,16416.080321675283,9932.891044159114,0.6325271751227052,[0.47473355],[0.1786],3.4749505861202956,3.3060850978761973,3.4749505861202956
MN,0.00023939134774097684,8444665.643571522,[-1469.70974343],-3188.9643113581114,0.9026684101998981,[1.95860261],[0.46087369],14186.525541308845,[0.01171356],0.0017031706792213178,13630.318381567497,10130.288971713962,0.6454106582732084,[0.46087369],[0.1425],4.11032364350973,3.5312767385224264,4.137681982109392
MO,0.00024033631325822628,6827712.403645876,[-847.00624435],-1681.036384356019,0.9345581383316652,[1.85479888],[0.50385955],13977.403978532473,[0.02134313],0.002325449744906559,12095.875005647817,9892.896886329438,0.7118894119556617,[0.50385955],[0.1174],5.683894344812314,4.166588038223138,5.918111114312154
MS,0.00023167047199763174,9803325.12117101,[-1913.6275526],-4821.791396217712,0.8732699345483882,[2.20038923],[0.39687066],18300.894101272588,[0.00184569],0.00030577265618812017,13186.400572397566,12763.876452807343,0.5690346517206637,[0.39687066],[0.1241],3.1075255253114906,3.064430090792238,3.1075255253114906
MT,0.08804206053505213,7375.356847360591,[-3786.0223835],-3178.873133950925,0.7492705078323921,[0.629113],[1.19099512],5731.170467987047,[0.02170985],0.003046996200544372,11314.005741502151,8811.293437303293,0.7746645055017709,[1.19099512],[0.1133],8.564595572821226,7.525092519315673,8.765415051984334
NC,0.0002527331692760222,8523291.513209775,[-675.2199202],-1734.5476361912915,0.9478307876620553,[2.43484767],[0.38927724],18538.02475728855,[0.01507586],0.001887161631470071,12267.661329803947,13483.488405714015,0.5352050549015022,[0.38927724],[0.1162],5.036791299999319,4.3497895499840595,5.0390706676510035
ND,0.00015726874401109773,9912083.898603486,[-4770.07605128],-10530.950265810137,0.6841015121435706,[1.51029856],[0.4529578],14275.283747857098,[0.00070039],9.250388185932803e-05,10329.952073722945,10016.231159436513,0.6455622945483848,[0.4529578],[0.1092],4.330522474955536,4.330522474955536,4.330522474955536
NE,0.00015897543620484845,9308869.911161194,[-3890.1017063],-7513.085962921454,0.7423778502862641,[1.43377964],[0.51777681],13715.307272484148,[0.00607727],0.0008576704016334827,11209.926418699628,10003.671332431653,0.709886186182333,[0.51777681],[0.1079],5.107106446694218,4.806328248538954,5.107106446694218
NH,0.1606093245058905,9269.822178353817,[8942.70186993],8101.404360825873,1.592230808837087,[1.44243941],[1.10384589],5847.682161646226,[0.05459976],0.006602398339036383,24042.72999493151,8281.655861434043,0.779426280201102,[1.10384589],[0.2546],4.082312245039842,2.414990469182319,4.268589975315406
NJ,0.00024139051917521954,7299641.746222068,[1158.70508915],1837.135299211037,1.0767352934414003,[1.7071716],[0.63071299],10526.071152411298,[0.0566089],0.0054186945434171125,16258.73321414527,8376.943109493845,0.7925241606311355,[0.63071299],[0.1674],5.35556227139419,4.002147342293199,5.491876814079314
NM,0.00033387744822209757,4314709.046036773,[6110.65869301],6759.026210111648,1.472125068211308,[1.62832395],[0.90407383],10408.844263811841,[0.07270057],0.006867731125566726,19053.5399430071,8601.158133821331,1.0940809972906864,[0.90407383],[0.1384],5.708617919072229,2.621769668049968,6.430902004704107
NV,0.041883800191032196,23892.415559106903,[3214.78843764],2569.7397394360214,1.2128994999896376,[0.96953069],[1.25101713],7262.011316101178,[0.10783777],0.014403508919768432,18314.81656264197,8872.305373956806,1.0239616716668019,[1.25101713],[0.1378],8.79100377501253,3.1652390411056412,9.196299429618191
NY,0.0002656874355957546,8502066.978844777,[11271.30291202],17755.34657982361,2.1611327951182244,[3.4043679],[0.63481177],10230.490819169445,[0.02855468],0.0030152076843757802,20978.463849521817,8159.512867220082,0.7959342739770197,[0.63481177],[0.2208],2.0316952855703376,1.7619047065493318,2.0596767799614604
OH,0.00019919698702542857,9622660.975922545,[-2246.51408833],-4901.154554354423,0.8512245096677356,[1.8570918],[0.45836426],13839.747823616906,[0.00562923],0.0007887854324548111,12853.51403667214,9895.502436128705,0.6410635369899743,[0.45836426],[0.1385],4.420444006095357,4.274397007364222,4.420444006095357
OK,0.0002500043498522425,8844933.520201767,[-1388.38746788],-3275.6431032192995,0.9080539813312549,[2.1423852],[0.42385187],17775.4972202922,[0.00852511],0.0018400460336604888,13711.640657120175,13338.221029866581,0.5648562770049106,[0.42385187],[0.1244],5.829981735213699,5.301089185141133,5.84744838789245
OR,0.0001639342241776706,7515097.349073115,[-3645.07569064],-6465.794023171871,0.7359738999398996,[1.30550256],[0.56374757],10787.930416286954,[0.02619306],0.0038982078643378165,10160.664309356272,8924.442888318841,0.6814621002405264,[0.56374757],[0.1142],6.083969383523159,4.767398090829859,6.453696101905911
PA,0.00019092338981917132,8875407.7261902,[-51.86094525],-85.43531950561373,0.9965655067115615,[1.6417343],[0.60701997],10630.633181377018,[0.01656119],0.0022332543728038764,15048.167179749453,8105.441092011621,0.7961326943721916,[0.60701997],[0.1594],4.429480440126728,4.011497521122703,4.633602886219601
RI,0.00037924505321451976,6393874.8423341485,[13360.77192601],21256.51960192375,2.495036777769679,[3.96951602],[0.62854937],10447.416651563952,[0.04087648],0.006304210896577675,22297.523265300293,8156.3298395090405,0.8051068783328825,[0.62854937],[0.2321],2.0396893070890245,1.421722153399968,2.2902342776041626
SC,0.00038926278792551913,6432022.568701172,[4838.16233634],12183.741721093149,1.4984116743808908,[3.77338741],[0.39709988],18423.451339900494,[0.02450003],0.002617176102352806,14545.323273844146,13404.031745187342,0.5458022180403904,[0.39709988],[0.1359],4.165455632296479,2.8926219381402523,4.199024200393521
SD,0.00016731854202308683,9801561.30073611,[-2615.92597519],-5027.367647567033,0.8267601918663926,[1.58889337],[0.52033711],13564.7886384539,[0.00121107],0.00036827977931542453,12484.102149812925,9947.397305784129,0.7095587681633274,[0.52033711],[0.1209],4.744183646095878,4.654040146878087,4.744183646095878
TN,0.00022896752957803218,9971089.151239207,[-2764.8869401],-7486.57065197044,0.8168952456769291,[2.21193275],[0.36931288],18637.188980910683,[0.00115817],0.00017548046551457892,12335.141184900413,13453.250221184879,0.5116201477730514,[0.36931288],[0.1225],3.8415231776316983,3.833655903475329,3.8415231776316983
TX,0.14607161989487585,9536.418932103566,[-114.41331772],-155.59167571575017,0.9924229732041978,[1.34960472],[0.73534344],10123.547684655015,[0.03292731],0.0042765250040702665,14985.614807279504,13593.677709795837,0.5476284286373034,[0.73534344],[0.1376],6.206941999516044,4.116888388549484,6.365873060027147
UT,0.0002706389343456784,4180386.8689900036,[-2515.23370237],-3308.050608489575,0.8334285418840919,[1.09613027],[0.76033713],10437.042872473448,[0.06648224],0.007473466558986431,12584.794422627527,9031.313212796238,0.8786840879422276,[0.76033713],[0.1084],9.22525038597901,4.121776712011291,10.428543795609547
VA,0.00027333660254383774,8674081.582656087,[-1405.6346565],-3560.279767776672,0.9069117855371261,[2.29708315],[0.39481017],17773.19332827054,[0.0152142],0.0035842459292071693,13694.393468504568,13803.801236686708,0.5083409520114752,[0.39481017],[0.1334],4.684125791351066,4.302342244329356,4.807119793848153
VT,0.02949319985062356,47458.42943192777,[3159.04532887],3542.7911787067824,1.2092079102579367,[1.35609675],[0.89168262],7023.0855184774755,[0.28708134],0.024181082075818917,18259.07345386732,8118.104809151849,0.7714070595499906,[0.89168262],[0.1993],10.759526186018592,4.636464271003773,10.833530884909038
WA,0.00012373759677412687,8877826.752541134,[-6350.45873464],-11664.333774562065,0.5794406022246525,[1.06429927],[0.5444339],10706.831841486268,[0.01769476],0.0023375658720200753,8749.569390359187,9063.611355657997,0.6431390407365207,[0.5444339],[0.1026],7.149565736361417,6.413182656230507,7.243894846193059
WI,0.00023497931055265595,9167396.64106873,[-268.70861239],-570.9664895055212,0.9822047608011781,[2.08704142],[0.47062064],13790.963779008092,[0.00764696],0.001154016214936896,14831.319512606691,9976.468463262134,0.6505620869595181,[0.47062064],[0.1562],4.674903784499028,4.445602281186339,4.724488702718206
WV,0.0003206031426586573,7305405.747512595,[-2548.19614062],-6956.183513903925,0.831245603019999,[2.26917264],[0.36632101],17703.22026492181,[0.00974222],0.0014503088365491607,12551.83198438457,12862.65602173175,0.5041774762955381,[0.36632101],[0.1323],6.013340135195456,4.470988155082441,6.4502108187638685
WY,0.07741633359794119,9955.015874155,[-2466.91303023],-2201.664398382649,0.8366285804364428,[0.74667219],[1.12047641],6949.331198254136,[0.02809635],0.0036333883426479356,12633.115094769111,8871.02829748635,0.8777518727868598,[1.12047641],[0.1109],7.593167309779809,4.6729872749746395,7.8900908925377
