panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,0,0,0,11096
0,0,0,0,0,11101
0,0,0,0,0,11102
0,0,0,0,0,11103
0,0,0,0,0,11104
0,0,0,0,0,11105
0,0,0,0,2,11106
0,0,0,0,0,11109
0,0,105,257,3384,1118
0,0,22,130,2921,1119
0,0,0,0,0,11201
0,0,0,0,0,11203
0,0,0,0,0,11204
0,0,0,0,0,11205
0,0,0,0,0,11206
0,0,0,0,0,11207
0,0,0,0,0,11208
0,0,0,0,0,11209
0,0,0,0,0,11210
0,0,0,0,3,11211
0,0,0,0,0,11212
0,0,0,0,0,11213
0,0,0,0,0,11214
0,0,0,0,0,11215
0,0,0,0,0,11216
0,0,0,0,0,11217
0,0,0,0,6,11218
0,0,0,0,0,11219
0,0,0,0,0,11220
0,0,0,0,0,11221
0,0,0,0,0,11222
0,0,0,0,0,11223
0,0,0,0,0,11224
0,0,0,0,0,11225
0,0,0,0,0,11226
0,0,0,0,0,11228
0,0,0,0,0,11229
0,0,0,0,0,11230
0,0,0,0,0,11231
0,0,0,0,0,11232
0,0,0,0,0,11233
0,0,0,0,152,11234
0,0,0,0,0,11235
0,0,0,0,0,11236
0,0,0,0,0,11237
0,0,0,0,0,11238
0,0,0,0,0,11239
0,0,0,0,0,11249
0,0,10,63,784,1128
0,0,16,130,2051,1129
0,0,0,0,0,11354
0,0,0,0,0,11355
0,0,0,0,0,11356
0,0,0,0,0,11357
0,0,0,0,0,11358
0,0,0,0,0,11360
0,0,0,0,0,11361
0,0,0,0,0,11362
0,0,0,0,0,11363
0,0,0,0,0,11364
0,0,0,0,0,11365
0,0,0,0,0,11366
0,0,0,0,3,11367
0,0,0,0,0,11368
0,0,0,0,0,11369
0,0,0,0,0,11370
0,0,0,0,0,11372
0,0,0,0,0,11373
0,0,0,0,0,11374
0,0,0,0,11,11375
0,0,0,0,0,11377
0,0,0,0,0,11378
0,0,0,0,0,11379
0,0,0,0,0,11385
0,0,0,0,8,11411
0,0,0,0,0,11412
0,0,0,0,0,11413
0,0,0,0,0,11414
0,0,0,0,0,11415
0,0,0,0,0,11416
0,0,0,0,0,11417
0,0,0,0,0,11418
0,0,0,0,0,11419
0,0,0,0,0,11420
0,0,0,0,0,11421
0,0,0,0,0,11422
