zip,year,incentive,panels
11412,1,-2000,0
11413,1,-2000,0
11414,1,-2000,0
11415,1,-2000,0
11416,1,-2000,0
11417,1,-2000,0
11418,1,-2000,0
11419,1,-2000,0
11420,1,-2000,0
11421,1,-2000,0
11422,1,-2000,0
11423,1,-2000,0
11426,1,-2000,0
11427,1,-2000,0
11428,1,-2000,0
11429,1,-2000,0
11432,1,-2000,0
11433,1,-2000,0
11434,1,-2000,0
11435,1,-2000,0
11436,1,-2000,0
11501,1,-2000,0
11507,1,-2000,0
11509,1,-2000,0
1151,1,-2000,0
11510,1,-2000,0
11514,1,-2000,0
11516,1,-2000,0
11518,1,-2000,0
11520,1,-2000,0
11530,1,-2000,0
11542,1,-2000,0
11545,1,-2000,0
11548,1,-2000,0
11550,1,-2000,0
11552,1,-2000,0
11553,1,-2000,0
11554,1,-2000,0
11557,1,-2000,0
11558,1,-2000,0
11559,1,-2000,0
11560,1,-2000,0
11561,1,-2000,0
11563,1,-2000,0
11565,1,-2000,0
11566,1,-2000,0
11568,1,-2000,0
11569,1,-2000,0
11570,1,-2000,0
11572,1,-2000,0
11575,1,-2000,0
11576,1,-2000,0
11577,1,-2000,0
11579,1,-2000,0
11580,1,-2000,0
11581,1,-2000,0
11590,1,-2000,0
11596,1,-2000,0
11598,1,-2000,0
11691,1,-2000,0
11692,1,-2000,0
11693,1,-2000,0
11694,1,-2000,0
11701,1,-2000,0
11702,1,-2000,0
11703,1,-2000,0
11704,1,-2000,0
11705,1,-2000,0
11706,1,-2000,0
11710,1,-2000,0
11713,1,-2000,0
11714,1,-2000,0
11715,1,-2000,0
11716,1,-2000,0
11717,1,-2000,0
11718,1,-2000,0
11719,1,-2000,0
11720,1,-2000,0
11721,1,-2000,0
11722,1,-2000,0
11724,1,-2000,0
11725,1,-2000,0
11726,1,-2000,0
11727,1,-2000,0
11729,1,-2000,0
11730,1,-2000,0
11731,1,-2000,0
11732,1,-2000,0
11733,1,-2000,0
11735,1,-2000,0
11738,1,-2000,0
11739,1,-2000,0
11740,1,-2000,0
11741,1,-2000,0
11742,1,-2000,0
11743,1,-2000,0
11746,1,-2000,0
11747,1,-2000,0
11749,1,-2000,0
11751,1,-2000,0
11752,1,-2000,0
11753,1,-2000,0
11754,1,-2000,0
11755,1,-2000,0
11756,1,-2000,0
11757,1,-2000,0
11758,1,-2000,0
11762,1,-2000,0
11763,1,-2000,0
11764,1,-2000,0
11765,1,-2000,0
11766,1,-2000,0
11767,1,-2000,0
11768,1,-2000,0
11769,1,-2000,0
11771,1,-2000,0
11772,1,-2000,0
11776,1,-2000,0
11777,1,-2000,0
11779,1,-2000,0
11780,1,-2000,0
11782,1,-2000,0
11783,1,-2000,0
11784,1,-2000,0
11787,1,-2000,0
11788,1,-2000,0
11790,1,-2000,0
11791,1,-2000,0
11793,1,-2000,0
