,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
18209,4010,1511,97292,45491,172,191,3602,16,9,315,53531
18210,16406,6158,103440,44547,1134,225,14418,340,1,1090,53532
18211,7397,3144,76250,38225,531,53,6868,109,17,133,53533
18212,12306,4731,85828,38573,766,40,10787,107,4,1215,53534
18213,9073,3808,83873,41201,398,35,8753,23,5,164,53536
18214,871,385,60750,35266,61,0,833,0,0,37,53537
18215,18535,7713,77530,39191,1174,55,16872,50,15,1498,53538
18216,121,54,55000,24098,21,0,121,0,0,0,53540
18217,833,378,57500,36575,117,0,801,18,6,33,53541
18218,1746,710,81136,38209,172,14,1721,3,0,55,53543
18219,825,321,96250,44139,41,0,798,15,0,44,53544
18220,24037,10774,68849,39061,2241,1307,21291,355,9,607,53545
18221,29352,12075,70317,36049,2590,381,25642,549,49,2140,53546
18222,20119,8314,70082,33165,2349,571,17957,311,25,1267,53548
18223,9902,4381,70438,43460,857,174,8599,35,24,1175,53549
18224,1163,431,72132,35423,125,0,1149,3,0,6,53550
18225,9417,3554,83795,42769,567,59,8639,32,116,715,53551
18226,612,266,57500,32415,44,0,602,0,1,0,53553
18227,983,372,63636,30292,111,5,948,0,0,3,53554
18228,8706,3832,109403,54726,241,22,8353,122,19,163,53555
18229,2326,1067,61615,35441,226,6,2143,18,2,129,53556
18230,406,193,88142,34827,22,3,374,0,0,8,53557
18231,12830,5126,98160,52518,264,19,11814,232,8,309,53558
18232,6165,2376,90548,38404,567,185,5392,203,11,564,53559
18233,3497,1509,92788,54034,260,0,3297,21,10,113,53560
18234,1891,776,95000,46373,133,24,1810,2,0,65,53561
18235,29161,12857,96515,63491,1769,770,23731,2164,137,1964,53562
18236,11587,4490,83302,39464,507,0,10766,23,5,360,53563
18237,4549,1910,79180,39306,291,34,4379,3,0,72,53565
18238,15037,6612,67959,39905,902,155,14059,51,10,820,53566
18239,907,391,70750,34597,85,2,879,23,0,2,53569
18240,2654,1186,79821,42324,207,11,2583,0,2,38,53570
18241,68,68,-666666666,-1,0,0,68,0,0,0,53571
18242,10350,3758,100260,47162,381,75,9745,111,2,206,53572
18243,3038,1254,61630,32399,287,5,3000,3,0,50,53573
18244,4151,1540,94227,46125,173,6,4021,3,10,100,53574
18245,17928,6857,104647,50917,1066,777,16040,426,18,264,53575
18246,2359,970,69545,33497,223,15,2205,8,0,105,53576
18247,1300,532,84375,47598,111,0,1231,15,0,9,53577
18248,6392,2630,95000,45104,537,45,5802,2,6,481,53578
18249,1736,627,72688,33266,182,13,1554,5,0,181,53579
18250,487,186,55000,27676,130,0,485,0,0,0,53580
18251,10169,4236,61186,33233,1456,111,9416,122,2,286,53581
18252,1182,440,80625,35011,131,2,1106,25,1,18,53582
18253,6123,2518,86583,42077,202,0,5905,8,15,193,53583
18254,10,10,-666666666,-1,0,0,10,0,0,0,53584
18255,2250,848,68448,33896,176,13,1853,10,35,484,53585
18256,2162,824,64559,30043,268,3,2050,6,4,158,53586
18257,1226,485,75774,35962,131,35,1156,0,0,21,53587
18258,3741,1685,81275,42631,228,1,3604,54,12,44,53588
18259,19908,8654,82668,48745,1114,217,18638,132,34,637,53589
18260,43423,17313,96762,46470,2274,2835,35041,2719,144,1994,53590
18261,28074,11250,130289,64504,572,574,24138,1678,101,997,53593
18262,5059,2200,73611,37078,822,10,4476,28,49,370,53594
18263,20517,8058,113129,59473,737,274,18603,306,9,978,53597
18264,3750,1438,98929,41830,459,5,3317,167,0,181,53598
18265,99,56,-666666666,38294,9,0,85,0,0,20,53599
18266,37944,19486,45623,45814,14767,1250,31104,3591,16,1497,53703
18267,47079,21612,71609,44010,5926,5527,33664,2281,90,4181,53704
18268,24936,12178,79253,55665,2987,702,18315,3642,106,1620,53705
