,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
17848,727,277,66875,30709,71,0,711,7,2,6,52326
17849,3691,1432,80642,39076,102,0,3622,0,0,33,52327
17850,2962,1016,129615,50584,178,0,2844,65,0,53,52328
17851,757,305,69861,31456,28,2,731,0,0,0,52329
17852,943,378,96442,42866,70,0,929,2,0,0,52330
17853,1819,691,86250,36846,125,0,1765,0,0,53,52332
17854,7237,2702,113654,48994,198,14,6990,11,0,221,52333
17855,259,93,116477,36969,35,0,259,0,0,0,52334
17856,604,240,48600,26058,61,2,568,0,0,40,52335
17857,2442,1034,88571,40839,191,6,2368,22,7,29,52336
17858,803,328,60833,32531,46,5,782,0,0,1,52337
17859,3886,1380,117143,56745,225,43,3581,120,28,45,52338
17860,4120,1481,58911,25259,813,80,2366,0,836,1267,52339
17861,5192,1955,95048,37998,432,230,4416,141,9,341,52340
17862,1154,376,103640,45756,26,9,1110,0,0,0,52341
17863,2875,1188,57759,30300,479,62,2496,18,219,176,52342
17864,100,65,-666666666,33083,26,0,100,0,0,0,52344
17865,1578,527,107813,38392,130,14,1486,0,0,52,52345
17866,1119,418,105236,39515,114,0,1089,0,0,5,52346
17867,1367,525,67159,34827,229,9,1307,0,0,8,52347
17868,79,37,85781,32252,8,0,72,0,7,7,52348
17869,7665,3207,68281,36303,846,69,7181,34,18,145,52349
17870,1434,514,108864,44920,18,10,1363,2,0,13,52351
17871,1775,689,87708,34844,118,2,1721,7,0,0,52352
17872,8930,3575,60409,30526,886,86,7756,70,0,1090,52353
17873,243,111,92656,33999,41,0,243,0,0,0,52354
17874,289,119,46250,30727,24,0,255,0,0,37,52355
17875,2577,1080,57193,33735,73,5,2508,0,0,40,52356
17876,4096,1589,76398,37062,380,38,3913,28,0,98,52358
17877,422,143,69141,29068,139,0,395,0,0,4,52359
17878,4784,2044,68333,46553,499,38,4551,24,0,304,52361
17879,882,381,67250,31621,185,1,864,1,0,5,52362
17880,2172,1275,42772,36319,361,510,1506,49,0,127,52401
17881,42648,18247,71048,38949,5053,2325,33607,2562,86,1644,52402
17882,24191,10213,75791,47449,1890,2186,20780,64,84,929,52403
17883,41433,17404,61783,32289,4999,4440,32952,428,63,2118,52404
17884,26259,11462,64279,37181,2965,2204,21757,576,17,956,52405
17885,8242,2847,163274,85677,203,212,7565,215,0,157,52411
17886,30535,12202,55801,30072,5387,1128,25650,527,88,4018,52501
17887,887,358,55250,32262,72,3,861,0,0,15,52530
17888,5856,2388,75000,36637,603,11,5503,57,8,24,52531
17889,1058,463,54135,32811,130,0,1039,0,0,3,52533
17890,420,175,54625,38519,50,15,368,12,0,0,52534
17891,859,407,65188,36964,120,11,788,0,0,71,52535
17892,701,354,52900,33315,52,0,659,2,0,0,52536
17893,6766,2525,82566,35346,608,0,6427,42,35,132,52537
17894,1230,503,56908,34216,204,0,1183,0,0,16,52540
17895,436,195,47188,30258,49,0,436,0,0,18,52542
17896,420,123,72813,26577,0,0,420,0,0,0,52543
17897,7873,3308,43810,24988,1569,46,7452,6,16,242,52544
17898,67,31,61375,33449,0,2,60,0,0,5,52548
17899,623,196,58333,22252,186,0,621,0,0,0,52549
17900,640,293,52853,30300,68,5,607,0,3,24,52550
17901,648,255,90184,29734,16,0,636,0,0,0,52551
17902,1012,325,58105,27442,43,0,1012,0,0,0,52552
17903,1856,705,59357,26739,318,37,1784,0,0,29,52553
17904,1057,534,52407,30440,172,0,1006,9,0,17,52554
17905,199,81,56563,20846,27,0,198,0,0,0,52555
17906,11647,5292,49840,39470,1663,636,9813,767,124,470,52556
17907,587,0,-666666666,5866,0,124,296,79,0,24,52557
17908,275,97,97625,52081,11,0,275,0,0,20,52560
17909,1054,390,54821,28121,191,23,911,10,0,91,52561
17910,68,36,38750,29669,24,0,68,0,0,0,52562
17911,1770,583,90313,31065,207,0,1734,0,0,6,52563
17912,1920,772,56848,37900,150,10,1889,0,0,11,52565
17913,262,84,70000,26715,32,0,261,0,0,0,52566
17914,449,224,72353,38709,29,0,433,6,0,11,52567
17915,84,38,35833,17814,27,0,77,0,0,7,52568
17916,630,311,57422,54796,54,0,607,2,0,0,52569
17917,1012,312,72593,35063,161,0,963,46,0,0,52570
17918,1430,563,86086,41839,161,4,1391,28,0,0,52571
17919,1051,404,58684,25564,150,0,996,0,0,0,52572
17920,201,68,-666666666,18812,0,0,201,0,0,0,52573
17921,553,216,59643,28832,24,0,501,0,0,49,52574
17922,402,141,74821,32884,31,0,398,0,0,0,52576
17923,14437,5712,63961,34101,2007,293,13439,197,23,403,52577
17924,726,308,46250,24493,11,1,720,0,0,0,52580
17925,275,110,60000,37712,13,0,227,0,0,0,52581
17926,447,163,83523,36240,29,0,414,0,0,0,52583
17927,846,217,69479,18670,56,0,843,0,0,3,52584
17928,795,319,71343,29822,55,0,773,0,4,38,52585
17929,619,269,42235,26399,31,0,617,0,0,0,52586
17930,58,21,-666666666,7533,21,0,58,0,0,0,52588
17931,1305,434,47344,19746,302,0,1275,0,0,0,52590
17932,2674,1164,58106,38196,304,19,2626,1,0,6,52591
17933,145,67,96875,72090,9,0,145,0,0,0,52593
17934,588,170,83026,28215,154,0,574,0,0,0,52594
17935,539,218,62500,23981,70,9,462,3,1,24,52595
17936,27592,12727,53827,35801,4563,1480,23812,373,9,1262,52601
17937,573,249,-666666666,34234,104,0,562,0,0,31,52619
17938,878,311,64803,29855,64,3,854,0,1,4,52620
17939,899,299,98125,40299,49,0,828,7,0,53,52621
17940,1963,771,84375,40554,137,6,1925,18,0,26,52623
17941,581,243,142188,45816,0,0,560,0,8,21,52624
17942,2204,867,73352,34636,212,27,2150,0,0,0,52625
17943,1198,502,57400,25812,198,6,1170,0,0,8,52626
17944,12719,5405,56533,31099,1417,442,11833,32,0,617,52627
17945,230,104,40833,22150,34,0,226,0,0,4,52630
17946,61,22,107500,48098,0,0,59,0,0,0,52631
17947,12087,5199,49639,30590,1972,449,10821,12,44,481,52632
17948,946,358,63088,26796,266,0,841,79,0,60,52635
17949,2994,1148,73442,33526,159,34,2779,49,7,89,52637
17950,516,207,63036,27493,68,0,493,0,0,0,52638
17951,1560,696,68333,35742,123,38,1393,84,2,2,52639
17952,1366,511,73264,36371,76,0,1320,0,0,2,52640
17953,12812,4675,62790,30189,1450,491,10851,429,51,939,52641
17954,473,183,72563,31060,18,0,473,0,0,0,52644
17955,3801,1402,64250,28338,319,17,3700,16,7,89,52645
17956,293,134,61250,29939,80,0,268,0,0,0,52646
17957,150,65,64583,30274,19,13,137,0,0,12,52647
17958,760,291,65268,35910,52,3,719,10,0,17,52649
17959,748,335,97899,45207,5,0,718,0,0,0,52650
17960,430,165,45417,23825,38,0,420,0,1,6,52651
17961,87,27,-666666666,34364,0,0,87,0,0,0,52652
17962,3109,1346,71190,34564,166,19,2739,0,37,357,52653
17963,1522,569,80313,34488,117,0,1415,0,2,4,52654
17964,4174,1703,51927,31965,632,523,3377,6,0,76,52655
17965,2295,1015,78272,41328,162,0,2249,15,0,36,52656
17966,65,31,83250,38998,0,0,65,0,0,0,52657
17967,929,399,68438,34362,73,0,894,0,7,63,52658
17968,1336,566,50667,32635,101,0,1288,4,0,39,52659
17969,278,135,-666666666,53804,0,0,278,0,0,0,52660
17970,121,46,-666666666,23527,37,0,121,0,0,0,52701
17971,884,354,81806,40644,55,7,862,0,0,33,52720
17972,846,320,79375,33142,73,0,762,60,0,40,52721
17973,40639,16286,102036,53544,2893,692,34714,2635,38,2011,52722
17974,5113,2264,101875,48723,262,65,4896,19,5,288,52726
17975,375,163,61806,38365,12,0,366,0,0,0,52727
17976,888,392,74333,33580,79,0,781,12,0,39,52728
17977,914,346,78750,37147,21,0,790,98,0,59,52729
17978,5042,2159,61431,31466,349,37,4919,0,11,0,52730
17979,777,323,84519,41183,56,8,742,0,4,40,52731
17980,25984,10993,55714,31577,4102,1289,23082,65,84,1194,52732
17981,274,120,63750,33694,12,0,161,0,1,128,52737
17982,3389,1132,74043,30755,422,55,2237,217,8,1235,52738
17983,843,313,76875,26603,172,4,607,25,3,272,52739
17984,7581,2893,86164,42926,511,50,7199,256,0,110,52742
17985,461,231,89375,45353,22,14,440,0,0,7,52745
17986,1236,422,107500,39270,191,1,1031,0,7,209,52746
17987,2055,861,81641,44818,152,17,1925,24,0,54,52747
17988,9737,3697,95899,46119,295,203,8607,189,1,676,52748
17989,1127,367,97015,34493,21,0,1086,0,0,169,52749
17990,513,178,84250,41955,68,2,493,0,0,0,52750
17991,985,396,65455,36741,116,0,940,18,0,19,52751
17992,364,193,52969,33020,39,0,339,3,0,7,52752
17993,6108,2257,95271,43683,382,48,5586,157,0,62,52753
17994,1501,564,94352,45450,43,1,1416,5,0,30,52754
17995,2227,805,91875,36769,80,0,2138,10,0,22,52755
17996,1505,578,113438,55067,29,0,1423,0,0,29,52756
17997,239,113,61563,33887,24,0,220,0,0,4,52757
17998,266,108,63438,32115,22,2,262,0,0,0,52758
17999,101,65,76146,43290,8,0,101,0,0,0,52759
18000,679,343,72837,38887,0,0,665,0,0,44,52760
18001,30357,11875,63371,31985,4478,1019,25160,204,65,5207,52761
18002,360,174,86000,48055,17,0,354,0,0,8,52765
18003,763,343,68750,35290,33,1,692,0,0,117,52766
18004,394,115,78958,94919,0,7,340,0,0,8,52767
18005,1288,477,89271,41158,45,0,1164,0,1,3,52768
18006,522,215,92917,44845,26,0,515,1,2,6,52769
18007,55,37,59625,45756,0,0,55,0,0,0,52771
18008,5289,2167,78986,37912,305,30,5139,0,19,102,52772
18009,2638,1035,81713,39015,225,34,2468,0,2,95,52773
18010,141,49,71042,28235,4,0,129,0,0,3,52774
18011,4979,1781,70450,32155,250,122,3742,18,16,2001,52776
18012,1261,508,45417,25792,88,6,1196,0,0,46,52777
18013,3661,1610,69792,41916,119,10,3480,10,8,211,52778
18014,1598,995,24255,23975,613,353,990,79,60,161,52801
18015,9557,3792,47170,25266,2111,447,7725,195,65,1582,52802
18016,21558,8956,60420,37138,3311,2495,16475,181,76,2093,52803
18017,26812,11267,59090,32117,4842,2999,20318,476,68,2578,52804
18018,27733,11347,68863,33649,2854,3214,21929,674,43,1811,52806
18019,16806,7350,66332,44551,2078,1687,13389,332,41,1046,52807
18020,1774,811,86522,48920,67,0,1730,5,5,18,53001
18021,2389,953,89567,40507,85,4,2034,25,0,248,53002
18022,96,43,52250,42144,5,0,96,0,0,0,53003
18023,3596,1477,81908,39752,59,0,3383,35,1,110,53004
18024,21624,8303,120988,62580,464,74,17863,2293,25,856,53005
18025,1901,776,82045,37346,167,19,1834,15,7,51,53006
18026,1906,863,53051,33224,173,118,1625,88,5,46,53007
18027,7545,3018,93365,43232,382,27,7075,33,7,143,53010
18028,2106,874,84792,43886,88,5,2042,0,4,35,53011
18029,18721,7625,94079,54489,672,65,17659,199,27,535,53012
18030,3726,1388,85676,40622,273,38,3319,64,0,182,53013
18031,7977,3414,69703,38099,307,32,7735,0,9,217,53014
18032,2921,1090,82308,34286,157,2,2570,94,0,312,53015
18033,387,163,68229,32762,42,0,334,9,1,47,53016
18034,5369,1842,141250,57628,55,21,5202,19,0,0,53017
18035,7813,3176,118750,65435,511,190,6895,129,8,680,53018
18036,1761,729,92396,40635,49,0,1675,7,6,72,53019
18037,3589,1516,84762,47148,151,0,3535,0,1,82,53020
18038,4428,1716,81859,44231,272,70,3928,49,12,267,53021
18039,19903,7952,102103,49457,666,448,17332,1117,44,670,53022
18040,1277,544,81786,47091,42,0,1215,8,0,7,53023
18041,18752,8332,87067,48784,659,302,17212,324,1,579,53024
18042,23394,9562,78774,40394,1780,310,21375,164,97,1184,53027
18043,21325,8269,108543,61752,1014,90,19650,534,59,855,53029
18044,61,22,111000,35307,8,0,26,0,0,35,53031
18045,4995,2262,52028,30283,615,78,4877,0,9,61,53032
18046,5994,2406,115625,62687,200,8,5720,92,6,82,53033
18047,1682,654,75893,37703,168,5,1545,19,2,12,53034
18048,2440,911,90625,39891,75,0,2317,70,2,82,53035
18049,3140,1215,82467,42753,126,11,3068,19,0,46,53036
18050,10005,4293,94212,44543,461,171,9392,16,0,228,53037
18051,4323,1592,91229,40072,238,56,3920,143,0,155,53038
18052,4853,1643,78482,36387,445,140,4444,3,11,249,53039
18053,8146,3235,97841,44095,227,14,7790,22,0,343,53040
18054,6654,2770,81196,38581,553,0,6262,40,52,192,53042
18055,2267,849,128036,72774,14,0,2133,50,0,94,53044
18056,23292,9670,115202,69084,1086,270,18709,2884,16,583,53045
18057,1351,637,75675,47952,73,0,1289,48,3,66,53046
18058,134,59,76445,37751,2,0,132,0,0,2,53047
18059,3544,1499,65819,35923,265,23,3283,8,0,221,53048
18060,2325,940,85648,42096,25,0,2207,6,2,130,53049
18061,7070,3032,65283,33454,586,19,6903,5,28,44,53050
18062,38639,15963,97115,55628,1679,1590,32947,1864,51,1868,53051
18063,1846,703,98750,35205,85,5,1806,0,1,36,53057
18064,3177,1240,117250,153983,75,8,2976,79,0,97,53058
18065,1964,756,85305,40912,192,0,1888,3,3,7,53059
18066,4902,2183,62099,41327,377,0,4527,65,61,204,53061
18067,1749,688,83500,40225,95,29,1662,3,23,63,53063
18068,2383,887,110938,45898,101,10,2258,26,2,40,53065
18069,36973,14858,108292,58402,1719,405,34847,181,59,919,53066
18070,654,351,123620,61554,12,0,566,0,5,77,53069
18071,4815,1847,83972,37565,197,9,4525,33,0,154,53070
18072,26653,12087,94704,65459,1019,158,24321,755,61,1120,53072
18073,16136,6251,74176,35163,835,612,14693,158,80,461,53073
18074,13343,5649,74348,41203,886,177,12301,201,15,371,53074
18075,3327,1407,81387,42147,182,0,3192,2,1,107,53075
18076,3342,1162,110163,49234,34,28,3182,71,0,43,53076
18077,1811,764,91929,44745,157,0,1811,0,0,0,53078
18078,1310,571,76250,39649,40,0,1293,1,1,40,53079
18079,5190,2394,72883,40769,390,82,4849,44,8,150,53080
18080,43042,18792,59010,32666,4933,1448,33205,4778,133,4767,53081
18081,22022,8891,75455,39611,1200,207,18630,1581,20,1599,53083
18082,11632,5115,70233,38146,800,33,10854,316,0,553,53085
18083,9100,3902,95110,52035,102,0,8751,123,20,242,53086
18084,230,128,56364,37172,27,0,223,3,0,0,53088
18085,19817,7486,106921,50733,942,127,17888,1114,6,364,53089
18086,21764,8821,85836,41258,1482,220,20358,128,50,735,53090
18087,2177,876,75833,35606,204,65,2025,9,14,79,53091
18088,21161,8361,121994,76718,702,467,19192,615,37,787,53092
18089,2007,759,88850,39116,54,0,1893,7,7,33,53093
18090,18507,7096,71883,34319,1370,74,17144,54,18,1517,53094
18091,27641,12039,77397,43561,1445,620,25656,193,67,969,53095
18092,7220,2339,148633,71459,270,89,6062,441,23,292,53097
18093,11586,4364,68618,35058,774,73,10372,5,18,1247,53098
18094,3,1,-666666666,-1,0,0,3,0,0,0,53099
18095,3621,1549,132598,53925,60,12,3442,0,0,159,53103
18096,5626,2139,101380,46961,327,12,5391,1,0,199,53104
18097,29217,11995,86787,46901,1823,130,27902,246,14,1702,53105
18098,2867,1301,99514,49860,67,34,2681,17,0,485,53108
18099,18087,8603,66592,37232,2218,549,15258,437,69,1525,53110
18100,2219,846,70000,32686,311,16,1949,7,3,401,53114
18101,16098,6619,69189,34593,1243,124,13505,77,22,3304,53115
18102,7154,2911,102054,51463,329,12,6837,114,0,122,53118
18103,5717,2185,117743,47492,325,21,5334,5,3,241,53119
18104,10889,4344,91575,47861,430,75,10494,48,0,286,53120
18105,18868,7698,82308,42321,936,159,16869,75,55,1631,53121
18106,6461,2199,127157,65107,288,204,5736,249,0,294,53122
18107,1738,766,104318,77988,124,0,1637,22,0,24,53125
18108,7012,2798,95568,45238,374,48,6282,0,7,573,53126
18109,124,47,145402,43657,0,0,124,0,0,0,53127
18110,9185,3255,88033,34744,589,2,8137,21,69,1240,53128
18111,14683,6121,90119,43618,967,248,11940,877,75,1403,53129
18112,7699,3138,83929,41789,320,54,6709,257,0,826,53130
18113,36094,14016,103225,50018,1891,1382,30126,2003,168,1981,53132
18114,1490,600,107917,46827,55,6,1369,6,0,98,53137
18115,2163,909,97614,46330,46,0,2058,10,11,70,53139
18116,30078,12671,55496,30208,5443,3081,22150,436,222,5207,53140
18117,33701,12973,83073,40376,2247,1942,26302,1139,123,4880,53142
18118,21815,8439,62608,31480,2979,2733,14732,252,54,4373,53143
18119,26422,10169,63110,36976,4460,2673,18963,801,146,4631,53144
18120,7746,3140,91123,54398,388,175,7373,86,0,298,53146
18121,17842,8084,76225,49785,1517,116,15677,159,40,2220,53147
18122,19533,7281,112002,50712,437,118,18031,370,56,924,53149
18123,26047,10385,109887,53273,741,176,24698,297,29,1066,53150
18124,32507,14067,96250,54842,1001,322,28581,2015,49,1136,53151
18125,2740,1035,140568,48946,77,0,2686,11,0,7,53153
18126,36286,15346,86408,44994,1689,1174,29162,2173,59,4009,53154
18127,3433,1408,75795,36484,276,9,3248,13,0,254,53156
18128,0,0,-666666666,-666666666,0,0,0,0,0,0,53157
18129,17914,6791,104163,47571,912,350,14933,360,60,1710,53158
18130,319,202,42763,33261,1,0,303,0,0,0,53167
18131,9337,3716,96422,48943,266,0,8825,58,34,387,53168
18132,2124,840,79338,46360,83,46,1920,0,0,117,53170
18133,20678,8543,68801,35100,2756,476,17780,170,334,2420,53172
18134,145,45,-666666666,14616,0,0,145,0,0,27,53176
18135,8434,2602,77925,31316,580,716,6610,141,79,1144,53177
18136,2749,1084,87625,43369,174,0,2686,11,2,56,53178
18137,6812,2622,91489,40494,516,14,6031,0,0,821,53179
18138,7895,3475,93539,44128,766,50,7499,3,2,648,53181
18139,9498,3163,102464,38248,763,558,8386,59,12,430,53182
18140,3081,1076,112857,55132,69,3,2965,57,20,76,53183
18141,4100,1509,71654,35555,370,14,3488,18,18,710,53184
18142,18578,7381,101188,49348,879,63,17212,174,74,842,53185
18143,33672,14702,69602,39484,2934,836,28766,1024,195,4336,53186
18144,34078,14095,84409,43995,3275,1300,29631,959,73,3033,53188
18145,26640,10218,110798,51064,1545,405,23752,637,17,1900,53189
18146,20500,6962,56923,26736,4232,815,17628,486,66,2187,53190
18147,3268,1421,62003,49687,277,0,3072,13,0,250,53191
18148,129,96,-666666666,73681,0,0,129,0,0,0,53192
18149,118,53,71354,27000,17,0,112,0,0,5,53195
18150,25850,16717,62505,62407,3805,2037,20040,1508,255,1341,53202
18151,2025,1269,86895,70208,264,289,1587,60,0,186,53203
18152,39203,13391,41623,19719,12263,4060,13186,1311,424,27041,53204
18153,8683,3452,25847,20157,3814,7099,619,584,46,414,53205
18154,20481,7704,27461,18534,7968,18718,539,164,15,390,53206
18155,34767,16393,74073,43032,2944,1102,28710,620,83,5394,53207
18156,27660,11636,44348,28355,7620,11604,10139,2921,97,2612,53208
18157,46441,19443,42436,25638,11948,30993,11187,959,177,1864,53209
18158,24061,9186,41667,21874,7270,17059,4683,357,98,1455,53210
18159,34775,15316,73783,51358,5665,1381,28754,2003,102,1489,53211
18160,29292,13327,43803,30689,7623,14746,10729,264,234,3205,53212
18161,26908,12151,93702,53410,1836,1484,22530,1139,85,1090,53213
18162,34892,16016,59050,32225,4415,2884,25885,838,299,6196,53214
18163,59400,19549,49091,21352,13610,3618,22644,2672,779,40505,53215
18164,31030,12304,41733,22672,6772,25613,2974,899,41,1721,53216
18165,30132,11664,124338,71555,1857,1961,24053,1683,0,1713,53217
18166,41775,14403,41478,20053,12885,30105,4668,3647,208,2907,53218
18167,35223,14975,68332,33563,3557,1678,24533,1154,273,9537,53219
18168,26931,11958,68421,37834,2694,1293,18491,1736,153,5887,53220
18169,39066,16500,57143,32627,5673,2530,25408,3157,193,9546,53221
18170,24467,10693,71283,37979,2288,7863,13388,476,72,1598,53222
18171,28899,12229,57120,30445,4162,16128,8967,1576,5,1112,53223
18172,21469,7923,63763,28942,5326,12625,4538,2629,62,1317,53224
18173,25953,9956,51082,25625,4833,14813,7091,1406,137,1576,53225
18174,18595,8151,87018,52903,1258,1111,15152,1074,213,806,53226
18175,23263,10705,68533,39670,2394,1268,17670,935,291,2840,53227
18176,15162,7143,72163,39797,1341,420,12576,516,15,1338,53228
18177,13818,4506,17746,11702,5344,4430,7006,837,72,1623,53233
18178,9288,4870,51749,39278,1525,677,7589,135,45,1144,53235
18179,157,0,-666666666,23889,33,46,97,0,9,0,53295
18180,35296,14571,70886,40178,3640,3346,27008,651,84,4915,53402
18181,26879,10711,55811,29619,5366,7815,13485,271,102,6073,53403
18182,13089,4872,46315,22024,2861,2857,7183,78,83,4667,53404
18183,27199,10908,63782,31399,2797,3431,19319,280,55,4881,53405
18184,25994,11432,73636,42642,2971,2487,20438,692,122,3273,53406
18185,249,150,61523,35263,63,0,163,0,86,0,53501
18186,2464,1006,77679,39694,149,6,2385,3,4,38,53502
18187,1954,831,80781,42734,86,34,1795,19,7,31,53503
18188,2229,924,74038,35091,174,0,2181,0,5,49,53504
18189,368,164,123250,62872,5,0,366,0,0,0,53505
18190,963,402,55833,28106,171,28,899,10,0,22,53506
18191,2415,854,116016,45454,115,25,2245,0,0,17,53507
18192,5858,2380,95743,45154,110,8,5572,29,0,90,53508
18193,1453,548,82788,37696,118,4,1366,7,2,11,53510
18194,48749,18569,61825,31801,6224,5217,33648,509,150,9126,53511
18195,2666,1084,81324,48500,148,3,2539,23,0,72,53515
18196,2146,927,80341,47763,109,0,2093,12,0,12,53516
18197,1821,750,75833,45699,132,9,1670,97,2,33,53517
18198,1508,659,56528,30323,327,6,1441,6,0,9,53518
18199,6709,2898,71836,37937,655,0,6487,20,10,218,53520
18200,3587,1422,97321,44037,117,42,3268,12,3,120,53521
18201,893,380,74167,43899,71,0,862,0,0,13,53522
18202,5091,2129,95822,51133,340,44,4823,26,0,107,53523
18203,4024,1628,72500,36411,235,42,3684,0,3,309,53525
18204,559,234,75000,36519,80,13,523,0,0,85,53526
18205,11182,4422,113262,48546,287,73,9533,605,0,656,53527
18206,6256,2500,99224,50145,210,6,5869,19,0,168,53528
18207,2549,921,92250,40305,106,8,2249,13,0,294,53529
18208,4689,1852,65172,32992,477,11,4373,65,10,323,53530
