zip,state_code,target_prop,group_id,group_incentive,pred_panels
37205,TN,0.000171,6,6500,307.0751503006012
37206,TN,0.000137,5,5000,439.4384384384384
37207,TN,0.0003825,7,8000,495.9520958083832
37208,TN,0.0003855,7,8000,323.81600000000003
37209,TN,0.0001135,5,5000,103.26673326673327
37210,TN,0.0001355,7,8000,282.197
37211,TN,8.2e-05,5,5000,116.71142284569139
37212,TN,9.55e-05,6,6500,191.4924924924925
37214,TN,0.000113,6,6500,316.2962962962963
37215,TN,0.000232,6,6500,411.008991008991
37216,TN,8.1e-05,6,6500,118.864
37217,TN,0.0001445,7,8000,267.03296703296706
37218,TN,0.0004365,7,8000,404.2115768463074
37219,TN,5.3e-05,7,8000,1.7137137137137137
37220,TN,0.0002035,7,8000,218.5568862275449
37221,TN,0.0001005,6,6500,228.03596403596404
37228,TN,7.65e-05,7,8000,5.355
37310,TN,2.05e-05,7,8000,1.925074925074925
37311,TN,6.75e-05,5,5000,180.26
37312,TN,0.000131,6,6500,199.81381381381382
37323,TN,6.75e-05,6,6500,99.336
37336,TN,2.1e-05,7,8000,1.0510510510510511
37341,TN,8.25e-05,7,8000,40.78078078078078
37343,TN,6.8e-05,5,5000,128.17582417582418
37350,TN,0.000343,7,8000,90.82447342026079
37351,TN,2.1e-05,7,8000,16.01201201201201
37353,TN,3.6e-05,7,8000,4.218
37354,TN,5.1e-05,7,8000,54.998998998999
37355,TN,5.55e-05,7,8000,88.368
37360,TN,7.2e-05,7,8000,5.466533466533466
37363,TN,9.95e-05,6,6500,241.22754491017963
37377,TN,8.5e-05,6,6500,239.07999999999998
37379,TN,5.8e-05,6,6500,158.67867867867866
37385,TN,2e-06,7,8000,0.12387612387612387
37388,TN,6.45e-05,6,6500,145.17482517482517
37402,TN,0.00016,7,8000,41.022977022977024
37403,TN,0.000103,7,8000,36.672672672672675
37404,TN,0.000165,7,8000,117.099
37405,TN,6.15e-05,5,5000,113.19
37406,TN,0.0005115,7,8000,276.312
37407,TN,9.95e-05,7,8000,129.015
37408,TN,0.00026,7,8000,58.0
37409,TN,6.55e-05,7,8000,4.903096903096903
37410,TN,0.000526,7,8000,111.11099999999999
37411,TN,0.0001815,7,8000,173.09400000000002
37412,TN,4.6e-05,3,2000,110.34700000000001
37415,TN,4.7e-05,4,3500,91.994
37416,TN,0.0002345,7,8000,95.54445554445554
37419,TN,9e-05,7,8000,107.62899999999999
37421,TN,0.000154,6,6500,284.658
37601,TN,3.6e-05,3,2000,52.398
37604,TN,3.6e-05,5,5000,79.04704704704704
37615,TN,7.15e-05,7,8000,131.94994994994997
37617,TN,2e-06,7,8000,0.14014014014014015
37618,TN,5.05e-05,7,8000,4.15
37642,TN,5.15e-05,7,8000,43.696303696303694
37643,TN,3.15e-05,5,5000,54.873873873873876
37645,TN,5e-05,7,8000,17.051000000000002
37658,TN,2.1e-05,7,8000,20.546546546546544
37659,TN,5.15e-05,7,8000,63.90390390390391
37660,TN,4.55e-05,5,5000,8.712
37663,TN,5.4e-05,7,8000,58.73852295409181
37664,TN,4.95e-05,5,5000,79.86
37665,TN,3.2e-05,7,8000,34.16216216216216
37686,TN,8.75e-05,7,8000,60.416
37692,TN,3e-06,7,8000,0.21599999999999997
37694,TN,3.05e-05,7,8000,9.651302605210422
37701,TN,0.000116,7,8000,98.766
37708,TN,3.25e-05,7,8000,5.158316633266534
37710,TN,1.05e-05,7,8000,4.788
37714,TN,1.9e-05,7,8000,1.96
37716,TN,3.45e-05,6,6500,99.827
37721,TN,4.15e-05,7,8000,73.33466533466533
37737,TN,7e-05,7,8000,118.74525474525474
37738,TN,2.35e-05,7,8000,22.46
37742,TN,9.9e-05,7,8000,91.04
37754,TN,2.95e-05,6,6500,67.66666666666666
37769,TN,2.6e-05,7,8000,34.6
37771,TN,4.25e-05,6,6500,91.97999999999999
37772,TN,8.4e-05,7,8000,163.17635270541084
37774,TN,9.3e-05,7,8000,83.92507492507492
37777,TN,6.5e-05,6,6500,103.684
37801,TN,7.1e-05,6,6500,146.3016983016983
37803,TN,6.35e-05,3,2000,136.788
