,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
106,0.0,1.6,0.4,-0.4,273505.8984019438,2817714822.206778,0.4157096456516689,0.17437025981786336
107,0.0,1.6,0.4,-0.8,281563.9509221067,2809519463.840641,0.4231342725947147,0.17437195349249035
108,0.0,1.6,0.4,-1.2000000000000002,288742.09640770085,2798671361.8822436,0.4306055448011896,0.17385491598219383
125,0.4,0.0,0.0,0.0,506228.30405929044,2112301851.2344556,0.4218215461369059,0.1844720655072838
150,0.4,0.4,0.0,0.0,412054.0195923927,2646410939.6759524,0.3627690277216433,0.16666065843897915
151,0.4,0.4,0.0,-0.4,416012.2320330002,2592351189.997265,0.37108957500550477,0.16692967823201577
175,0.4,0.8,0.0,0.0,376268.1829703197,2746768635.432607,0.346292793694696,0.15418408283819862
200,0.4,1.2000000000000002,0.0,0.0,366368.9149115341,2759513036.482607,0.35350503725889815,0.1485903314518766
202,0.4,1.2000000000000002,0.0,-0.8,358247.48995037924,2760113342.399439,0.36550996922894496,0.14883757008849607
205,0.4,1.2000000000000002,0.4,0.0,352321.6907012982,2760201918.4768014,0.3808491181034621,0.14995698588298856
225,0.4,1.6,0.0,0.0,347315.03369393526,2780395738.4778404,0.37441061872506287,0.1475417882876584
226,0.4,1.6,0.0,-0.4,351847.1284926754,2772169245.0572686,0.37953985476653695,0.1478254664575549
230,0.4,1.6,0.4,0.0,332637.46558045235,2788950925.8656664,0.39804428451677065,0.14901579769789586
231,0.4,1.6,0.4,-0.4,334475.86476858956,2780661937.3182645,0.40153406687898285,0.1494393485740173
250,0.8,0.0,0.0,0.0,506228.30405929044,2112301851.2344556,0.40231268075464,0.1514832614547481
275,0.8,0.4,0.0,0.0,493271.3801981997,2286422718.3864427,0.3730044390864815,0.1467826252961577
300,0.8,0.8,0.0,0.0,412054.0195923927,2646410939.6759524,0.361133704316249,0.14339640553202604
301,0.8,0.8,0.0,-0.4,413678.0951434407,2617350011.639184,0.3659546734844106,0.1441203722857658
302,0.8,0.8,0.0,-0.8,416012.2320330002,2592351189.997265,0.3701483130582326,0.1443054724787589
